name,count,year,month
Peugeot iOn,57,2012,3
Citroen C-Zero,52,2012,3
Tesla Roadster,6,2012,3
Think City,4,2012,3
OpelAmpera,6,2012,3
Toyota Prius,326,2012,3
Lexus CT,142,2012,3
Citroen CB,151,2012,3
Volkswagen upl,1,2012,3
Volvo V50,482,2012,3
ToyotaAuris,666,2012,3
Citroen C1,107,2012,3
Smart ForTwo,11,2012,3
ToyotaAygo,131,2012,3
Peugeot 107,107,2012,3
Citroen D83,98,2012,3
ToyotalQ,47,2012,3
Kia Picanto,239,2012,3
Renault Clio,16,2012,3
Hondalnsight,3,2012,3
SuzukiAlto,20,2012,3
Nissan Micra,93,2012,3
Peugeot 207,75,2012,3
Volvo S40,30,2012,3
MINI Clubman,17,2012,3
Fiat Punto,8,2012,3
Nissan Pixo,3,2012,3
Citroen C4,220,2012,3
Kia Rio,209,2012,3
MINI Mini,95,2012,3
Peugeot 308,252,2012,3
Fiat 500,133,2012,3
Volkswagen Polo,513,2012,3
Renault Laguna,12,2012,3
Hyundai i10,59,2012,3
AudiA1,212,2012,3
OpelCorsa,134,2012,3
Citroen DS5,45,2012,3
Volvo C30,30,2012,3
Ford Ka,24,2012,3
Ford Focus,1036,2012,3
Skoda Fabia,323,2012,3
Renault Megane,137,2012,3
Honda.Jazz,100,2012,3
ToyotaYaris,1058,2012,3
Ford Fiesta,341,2012,3
ToyotaVerso-S,319,2012,3
Volkswagen Jetta,22,2012,3
Honda CR-Z/lntegra/Odyssey,4,2012,3
AudiA3,401,2012,3
Mazda2,174,2012,3
Subaru Trezia,27,2012,3
Chevrolet Spark,5,2012,3
Nissan Leaf,849,2013,3
Mitsubishi l-MiEV,122,2013,3
Peugeot iOn,22,2013,3
Mia andre,3,2013,3
Think City,2,2013,3
Tesla Roadster,1,2013,3
Fisker Karma,1,2013,3
Smart ForTwo,8,2013,3
Toyota Prius,599,2013,3
Toyota Yaris,1033,2013,3
Lexus CT,73,2013,3
Mitsubishi Spaoe Star,81,2013,3
Fiat 500,65,2013,3
Honda lnsight,3,2013,3
Volkswagen upl,348,2013,3
Skoda Citigo,208,2013,3
Toyota Auris,979,2013,3
Peugeot 208,529,2013,3
Toyota Aygo,114,2013,3
Citroen DSS,107,2013,3
Ford Fiesta,375,2013,3
Peugeot 1 07,53,2013,3
Citroen C1,28,2013,3
Kia Picanto,227,2013,3
Volvo V40,773,2013,3
Renault Clio,82,2013,3
Citroen C3,82,2013,3
Suzuki Alto,36,2013,3
Alfa Romeo Mito,12,2013,3
Kia Rio,169,2013,3
Citroen C4,70,2013,3
Renault Megane,56,2013,3
Nissan Micra,26,2013,3
Renault Laguna,6,2013,3
Hyundai i1 O,42,2013,3
Peugeot 508,343,2013,3
MINI Mini,57,2013,3
Citroen DS5,53,2013,3
Fiat Panda,39,2013,3
Chevrolet Aveo,29,2013,3
Volvo C30,4,2013,3
Peugeot 308,63,2013,3
Skoda Rapid,60,2013,3
Ford Ka,7,2013,3
Volkswagen Golf,1966,2013,3
Ford Focus,834,2013,3
AudiA1,188,2013,3
Mazda 2,73,2013,3
Honda Jazz,57,2013,3
Volkswagen Polo,332,2013,3
BMW 1-serie,251,2013,3
Skoda Fabia,130,2013,3
Chevrolet Spark,38,2013,3
Opel Adam,30,2013,3
Subaru Trezia,16,2013,3
MINI Clubrnan,15,2013,3
AudiA3,302,2013,3
Saab 9-3,1,2013,3
Nissan Leaf,716,2012,4
Mitsubishi l-MiEV,225,2012,4
Peugeot iOn,118,2012,4
Citroen C-Zero,72,2012,4
Tesla Roadster,10,2012,4
Think City,6,2012,4
OpeIAmpera,17,2012,4
Toyota Prius,495,2012,4
Lexus CT,175,2012,4
Citroen C3,180,2012,4
Volvo V50,710,2012,4
Smart ForTwo,14,2012,4
Toyota Auris,874,2012,4
ToyotaAygo,187,2012,4
Citroen C'I,122,2012,4
ToyotalQ,63,2012,4
Kia Picanto,326,2012,4
Peugeot 107,133,2012,4
Fiat Punto,11,2012,4
Renault CIio,16,2012,4
Hondalnsight,3,2012,4
Citroen DS3,131,2012,4
Volvo S40,33,2012,4
