car_name,count_CM_CY,pct_CM_CY,cum_YTD_CY,pct_YTD_CY,count_CM_LY,pct_CM_LY,cum_YTD_LY,pct_YTD_LY,chg_CM_YOY,chg_YTD_YOY,yearsel,monthsel,velgfordelt
6. Toyota Yaris,272,"3,7",272,"3,7",422,"5,4",422,"5,4","-35,5","-35,5",2002.0,1,0
7. Toyota Rav4,265,"3,6",265,"3,6",204,"2,6",204,"2,6","29,9","29,9",2002.0,1,0
8. Audi A4,220,"3,0",220,"3,0",182,"2,3",182,"2,3","20,9","20,9",2002.0,1,0
9. Volkswagen Polo,207,"2,8",207,"2,8",92,"1,2",92,"1,2","125,0","125,0",2002.0,1,0
10. Peugeot 406,178,"2,4",178,"2,4",277,"3,5",277,"3,5","-35,7","-35,7",2002.0,1,0
11. Renault Laguna,167,"2,3",167,"2,3",60,"0,8",60,"0,8","178,3","178,3",2002.0,1,0
12. Toyota Avensis,163,"2,2",163,"2,2",248,"3,1",248,"3,1","-34,3","-34,3",2002.0,1,0
13. Nissan X-Trail,146,"2,0",146,"2,0",0,"0,0",0,"0,0",,,2002.0,1,0
14. Opel Astra,143,"1,9",143,"1,9",214,"2,7",214,"2,7","-33,2","-33,2",2002.0,1,0
15. Ford Focus,138,"1,9",138,"1,9",295,"3,7",295,"3,7","-53,2","-53,2",2002.0,1,0
15. Opel Zafira,138,"1,9",138,"1,9",212,"2,7",212,"2,7","-34,9","-34,9",2002.0,1,0
16. Saab 9-3,123,"1,7",123,"1,7",91,"1,2",91,"1,2","35,2","35,2",2002.0,1,0
17. Peugeot 206,121,"1,6",121,"1,6",163,"2,1",163,"2,1","-25,8","-25,8",2002.0,1,0
18. Mercedes-Benz C-klasse,109,"1,5",109,"1,5",128,"1,6",128,"1,6","-14,8","-14,8",2002.0,1,0
19. BMW 3-serie,103,"1,4",103,"1,4",149,"1,9",149,"1,9","-30,9","-30,9",2002.0,1,0
TOTALT,6 976,100,6 976,100,7 386,100,7 386,100,"-5,6","-5,6",2003.0,1,0
1. Toyota Rav4,424,"6,1",424,"6,1",265,"3,6",265,"3,6","60,0","60,0",2003.0,1,0
2. Peugeot 307,408,"5,8",408,"5,8",329,"4,5",329,"4,5","24,0","24,0",2003.0,1,0
3. Toyota Corolla,401,"5,7",401,"5,7",370,"5,0",370,"5,0","8,4","8,4",2003.0,1,0
4. Toyota Yaris,292,"4,2",292,"4,2",272,"3,7",272,"3,7","7,4","7,4",2003.0,1,0
5. Volkswagen Passat,249,"3,6",249,"3,6",310,"4,2",310,"4,2","-19,7","-19,7",2003.0,1,0
6. Ford Mondeo,235,"3,4",235,"3,4",398,"5,4",398,"5,4","-41,0","-41,0",2003.0,1,0
7. Volkswagen Golf,210,"3,0",210,"3,0",313,"4,2",313,"4,2","-32,9","-32,9",2003.0,1,0
8. Volvo S40/V40,199,"2,9",199,"2,9",101,"1,4",101,"1,4","97,0","97,0",2003.0,1,0
9. Toyota Avensis,191,"2,7",191,"2,7",163,"2,2",163,"2,2","17,2","17,2",2003.0,1,0
10. Volkswagen Polo,167,"2,4",167,"2,4",207,"2,8",207,"2,8","-19,3","-19,3",2003.0,1,0
11. Audi A4,160,"2,3",160,"2,3",220,"3,0",220,"3,0","-27,3","-27,3",2003.0,1,0
12. Peugeot 206,159,"2,3",159,"2,3",121,"1,6",121,"1,6","31,4","31,4",2003.0,1,0
13. Peugeot 406,152,"2,2",152,"2,2",178,"2,4",178,"2,4","-14,6","-14,6",2003.0,1,0
14. Opel Astra,145,"2,1",145,"2,1",143,"1,9",143,"1,9","1,4","1,4",2003.0,1,0
15. Mazda 6,143,"2,0",143,"2,0",0,"0,0",0,"0,0",,,2003.0,1,0
16. Nissan X-Trail,138,"2,0",138,"2,0",146,"2,0",146,"2,0","-5,5","-5,5",2003.0,1,0
17. Ford Focus,128,"1,8",128,"1,8",138,"1,9",138,"1,9","-7,2","-7,2",2003.0,1,0
18. Hyundai Getz,127,"1,8",127,"1,8",0,"0,0",0,"0,0",,,2003.0,1,0
19. Opel Zafira,113,"1,6",113,"1,6",138,"1,9",138,"1,9","-18,1","-18,1",2003.0,1,0
20. Saab 9-3,107,"1,5",107,"1,5",123,"1,7",123,"1,7","-13,0","-13,0",2003.0,1,0
TOTALT,8 202,100,8 202,100,6 976,100,6 976,100,"17,6","17,6",2004.0,1,0
1. Toyota Avensis,557,"6,8",557,"6,8",191,"2,7",191,"2,7","191,6","191,6",2004.0,1,0
2. Toyota Corolla,401,"4,9",401,"4,9",401,"5,7",401,"5,7","0,0","0,0",2004.0,1,0
3. Volkswagen Golf,351,"4,3",351,"4,3",210,"3,0",210,"3,0","67,1","67,1",2004.0,1,0
4. Ford Focus,299,"3,6",299,"3,6",128,"1,8",128,"1,8","133,6","133,6",2004.0,1,0
4. Peugeot 307,299,"3,6",299,"3,6",408,"5,8",408,"5,8","-26,7","-26,7",2004.0,1,0
5. Ford Mondeo,294,"3,6",294,"3,6",235,"3,4",235,"3,4","25,1","25,1",2004.0,1,0
6. Toyota Yaris,256,"3,1",256,"3,1",292,"4,2",292,"4,2","-12,3","-12,3",2004.0,1,0
7. Toyota Rav4,235,"2,9",235,"2,9",424,"6,1",424,"6,1","-44,6","-44,6",2004.0,1,0
8. Mazda 6,213,"2,6",213,"2,6",143,"2,0",143,"2,0","49,0","49,0",2004.0,1,0
9. Hyundai Getz,206,"2,5",206,"2,5",127,"1,8",127,"1,8","62,2","62,2",2004.0,1,0
10. Volkswagen Polo,200,"2,4",200,"2,4",167,"2,4",167,"2,4","19,8","19,8",2004.0,1,0
11. Volkswagen Passat,195,"2,4",195,"2,4",249,"3,6",249,"3,6","-21,7","-21,7",2004.0,1,0
12. Opel Vectra,194,"2,4",194,"2,4",93,"1,3",93,"1,3","108,6","108,6",2004.0,1,0
13. Peugeot 406,181,"2,2",181,"2,2",152,"2,2",152,"2,2","19,1","19,1",2004.0,1,0
14. Volvo S40/V40,167,"2,0",167,"2,0",199,"2,9",199,"2,9","-16,1","-16,1",2004.0,1,0
15. Volkswagen Touran,156,"1,9",156,"1,9",0,"0,0",0,"0,0",,,2004.0,1,0
16. Volvo V70,148,"1,8",148,"1,8",105,"1,5",105,"1,5","41,0","41,0",2004.0,1,0
17. Audi A4,139,"1,7",139,"1,7",160,"2,3",160,"2,3","-13,1","-13,1",2004.0,1,0
18. Honda CR-V,136,"1,7",136,"1,7",100,"1,4",100,"1,4","36,0","36,0",2004.0,1,0
19. Mercedes-Benz E-klasse,119,"1,5",119,"1,5",79,"1,1",79,"1,1","50,6","50,6",2004.0,1,0
TOTALT,7 375,100,7 375,100,8 202,100,8 202,100,"-10,1","-10,1",2005.0,1,0
1. Toyota Corolla,530,"7,2",530,"7,2",401,"4,9",401,"4,9","32,2","32,2",2005.0,1,0
2. Toyota Avensis,499,"6,8",499,"6,8",557,"6,8",557,"6,8","-10,4","-10,4",2005.0,1,0
3. Ford Focus,311,"4,2",311,"4,2",299,"3,6",299,"3,6","4,0","4,0",2005.0,1,0
4. Opel Astra,279,"3,8",279,"3,8",38,"0,5",38,"0,5","634,2","634,2",2005.0,1,0
5. Volkswagen Passat,266,"3,6",266,"3,6",195,"2,4",195,"2,4","36,4","36,4",2005.0,1,0
6. Peugeot 307,229,"3,1",229,"3,1",299,"3,6",299,"3,6","-23,4","-23,4",2005.0,1,0
6. Toyota Rav4,229,"3,1",229,"3,1",235,"2,9",235,"2,9","-2,6","-2,6",2005.0,1,0
7. Volkswagen Golf,215,"2,9",215,"2,9",351,"4,3",351,"4,3","-38,7","-38,7",2005.0,1,0
8. Toyota Yaris,212,"2,9",212,"2,9",256,"3,1",256,"3,1","-17,2","-17,2",2005.0,1,0
9. Peugeot 407,171,"2,3",171,"2,3",0,"0,0",0,"0,0",,,2005.0,1,0
10. Ford Mondeo,151,"2,0",151,"2,0",294,"3,6",294,"3,6","-48,6","-48,6",2005.0,1,0
11. Audi A3,150,"2,0",150,"2,0",66,"0,8",66,"0,8","127,3","127,3",2005.0,1,0
12. Opel Vectra,145,"2,0",145,"2,0",194,"2,4",194,"2,4","-25,3","-25,3",2005.0,1,0
13. Nissan X-Trail,143,"1,9",143,"1,9",98,"1,2",98,"1,2","45,9","45,9",2005.0,1,0
14. Renault Megane,141,"1,9",141,"1,9",112,"1,4",112,"1,4","25,9","25,9",2005.0,1,0
15. Mazda 6,140,"1,9",140,"1,9",213,"2,6",213,"2,6","-34,3","-34,3",2005.0,1,0
16. Suzuki Liana,133,"1,8",133,"1,8",98,"1,2",98,"1,2","35,7","35,7",2005.0,1,0
17. Volkswagen Polo,129,"1,7",129,"1,7",200,"2,4",200,"2,4","-35,5","-35,5",2005.0,1,0
18. Audi A4,121,"1,6",121,"1,6",139,"1,7",139,"1,7","-12,9","-12,9",2005.0,1,0
19. Volvo V50,114,"1,5",114,"1,5",0,"0,0",0,"0,0",,,2005.0,1,0
TOTALT,7 458,100,7 458,100,7 375,100,7 375,100,"1,1","1,1",2006.0,1,0
1. Volkswagen Passat,702,"9,4",702,"9,4",266,"3,6",266,"3,6","163,9","163,9",2006.0,1,0
2. Toyota Corolla,415,"5,6",415,"5,6",530,"7,2",530,"7,2","-21,7","-21,7",2006.0,1,0
3. Peugeot 307,342,"4,6",342,"4,6",229,"3,1",229,"3,1","49,3","49,3",2006.0,1,0
4. Suzuki Vitara,306,"4,1",306,"4,1",72,"1,0",72,"1,0","325,0","325,0",2006.0,1,0
5. Ford Focus,262,"3,5",262,"3,5",311,"4,2",311,"4,2","-15,8","-15,8",2006.0,1,0
6. Volkswagen Golf,260,"3,5",260,"3,5",215,"2,9",215,"2,9","20,9","20,9",2006.0,1,0
7. Toyota Avensis,199,"2,7",199,"2,7",499,"6,8",499,"6,8","-60,1","-60,1",2006.0,1,0
8. Toyota Yaris,191,"2,6",191,"2,6",212,"2,9",212,"2,9","-9,9","-9,9",2006.0,1,0
9. Skoda Octavia,165,"2,2",165,"2,2",77,"1,0",77,"1,0","114,3","114,3",2006.0,1,0
10. Ford Mondeo,141,"1,9",141,"1,9",151,"2,0",151,"2,0","-6,6","-6,6",2006.0,1,0
10. Toyota Rav4,141,"1,9",141,"1,9",229,"3,1",229,"3,1","-38,4","-38,4",2006.0,1,0
11. Volvo V70,140,"1,9",140,"1,9",102,"1,4",102,"1,4","37,3","37,3",2006.0,1,0
12. Volvo V50,136,"1,8",136,"1,8",114,"1,5",114,"1,5","19,3","19,3",2006.0,1,0
13. Honda CR-V,123,"1,6",123,"1,6",79,"1,1",79,"1,1","55,7","55,7",2006.0,1,0
14. Subaru Forester,122,"1,6",122,"1,6",90,"1,2",90,"1,2","35,6","35,6",2006.0,1,0
15. Renault Megane,117,"1,6",117,"1,6",141,"1,9",141,"1,9","-17,0","-17,0",2006.0,1,0
16. Nissan X-Trail,116,"1,6",116,"1,6",143,"1,9",143,"1,9","-18,9","-18,9",2006.0,1,0
17. BMW 3-serie,114,"1,5",114,"1,5",60,"0,8",60,"0,8","90,0","90,0",2006.0,1,0
17. Mazda 6,114,"1,5",114,"1,5",140,"1,9",140,"1,9","-18,6","-18,6",2006.0,1,0
17. Opel Vectra,114,"1,5",114,"1,5",145,"2,0",145,"2,0","-21,4","-21,4",2006.0,1,0
TOTALT,12 685,100,12 685,100,7 458,100,7 458,100,"70,1","70,1",2007.0,1,0
1. Volkswagen Passat,1 267,"10,0",1 267,"10,0",702,"9,4",702,"9,4","80,5","80,5",2007.0,1,0
2. Toyota Rav4,819,"6,5",819,"6,5",141,"1,9",141,"1,9","480,9","480,9",2007.0,1,0
3. Toyota Avensis,787,"6,2",787,"6,2",199,"2,7",199,"2,7","295,5","295,5",2007.0,1,0
4. Volkswagen Golf,720,"5,7",720,"5,7",260,"3,5",260,"3,5","176,9","176,9",2007.0,1,0
5. Toyota Corolla,691,"5,4",691,"5,4",415,"5,6",415,"5,6","66,5","66,5",2007.0,1,0
6. Peugeot 307,481,"3,8",481,"3,8",342,"4,6",342,"4,6","40,6","40,6",2007.0,1,0
6. Skoda Octavia,481,"3,8",481,"3,8",165,"2,2",165,"2,2","191,5","191,5",2007.0,1,0
7. Toyota Yaris,402,"3,2",402,"3,2",191,"2,6",191,"2,6","110,5","110,5",2007.0,1,0
8. Ford Focus,400,"3,2",400,"3,2",262,"3,5",262,"3,5","52,7","52,7",2007.0,1,0
9. Volvo V50,346,"2,7",346,"2,7",136,"1,8",136,"1,8","154,4","154,4",2007.0,1,0
10. Peugeot 207,320,"2,5",320,"2,5",0,"0,0",0,"0,0",,,2007.0,1,0
11. Audi A4,269,"2,1",269,"2,1",107,"1,4",107,"1,4","151,4","151,4",2007.0,1,0
12. Volkswagen Touran,235,"1,9",235,"1,9",101,"1,4",101,"1,4","132,7","132,7",2007.0,1,0
13. Ford S-Max,231,"1,8",231,"1,8",0,"0,0",0,"0,0",,,2007.0,1,0
14. Opel Astra,218,"1,7",218,"1,7",113,"1,5",113,"1,5","92,9","92,9",2007.0,1,0
14. Volkswagen Polo,218,"1,7",218,"1,7",78,"1,0",78,"1,0","179,5","179,5",2007.0,1,0
15. Audi A3,202,"1,6",202,"1,6",79,"1,1",79,"1,1","155,7","155,7",2007.0,1,0
16. BMW 3-serie,183,"1,4",183,"1,4",114,"1,5",114,"1,5","60,5","60,5",2007.0,1,0
