car_name,year,month,count_CM_CY,cum_YTD_CY
TOTALT,2012,7,11920,81275
TOTALT,2012,8,11790,93065
TOTALT,2012,9,11134,104199
TOTALT,2012,10,12413,116612
TOTALT,2012,11,11986,128598
TOTALT,2012,12,9369,137967
TOTALT,2013,1,11639,11639
TOTALT,2013,2,11322,22961
TOTALT,2013,3,10735,33696
TOTALT,2013,4,13988,47684
TOTALT,2013,5,12012,59696
TOTALT,2013,6,10948,70644
TOTALT,2013,7,11312,81956
TOTALT,2013,8,11660,93616
TOTALT,2013,9,12168,105784
TOTALT,2013,10,12893,118677
TOTALT,2013,11,12079,130756
TOTALT,2013,12,11395,142151
TOTALT,2014,1,11385,11385
TOTALT,2014,2,11246,22631
TOTALT,2014,3,13861,36492
TOTALT,2014,4,12115,48607
TOTALT,2014,5,12337,60944
TOTALT,2014,6,11441,72385
TOTALT,2014,7,11690,84075
TOTALT,2014,8,11444,95519
TOTALT,2014,9,11585,107104
TOTALT,2014,10,12963,120067
TOTALT,2014,11,11486,131553
TOTALT,2014,12,12649,144202
TOTALT,2015,1,10523,10523
TOTALT,2015,2,10685,21208
TOTALT,2015,3,14159,35367
TOTALT,2015,4,12782,48149
TOTALT,2015,5,12036,60185
TOTALT,2015,6,14207,74392
TOTALT,2015,7,12394,86786
TOTALT,2015,8,12604,99390
TOTALT,2015,9,12421,111811
TOTALT,2015,10,13197,125008
TOTALT,2015,11,12600,137608
TOTALT,2015,12,13078,150686
TOTALT,2016,1,10991,10991
TOTALT,2016,2,12222,23213
TOTALT,2016,3,13875,37088
TOTALT,2016,4,14116,51204
TOTALT,2016,5,12864,64068
TOTALT,2016,6,13681,77749
TOTALT,2016,7,11040,88789
TOTALT,2016,8,13232,102021
TOTALT,2016,9,13854,115875
TOTALT,2016,10,11932,127807
TOTALT,2016,11,13194,141001
TOTALT,2016,12,13602,154603
TOTALT,2017,1,13055,13055
TOTALT,2017,2,11788,24843
TOTALT,2017,3,13398,38241
TOTALT,2017,4,11339,49580
TOTALT,2017,5,14175,63755
TOTALT,2017,6,14228,77983
TOTALT,2017,7,11476,89459
TOTALT,2017,8,13415,102874
TOTALT,2017,9,13484,116358
TOTALT,2017,10,12472,128830
TOTALT,2017,11,13743,142573
TOTALT,2017,12,16077,158650
TOTALT,2018,1,9207,9207
TOTALT,2018,2,10191,19398
TOTALT,2018,3,14401,33799
TOTALT,2018,4,14055,47854
TOTALT,2018,5,13046,60900
TOTALT,2018,6,15845,76745
