car_name,count_CM_CY,pct_CM_CY,cum_YTD_CY,pct_YTD_CY,count_CM_LY,pct_CM_LY,cum_YTD_LY,pct_YTD_LY,chg_CM_YOY,chg_YTD_YOY,yearsel,monthsel,velgfordelt
TOTALT,15 845,100,76 745,100,14 228,100,77 983,100,"11,4","-1,6",2018,6,1
1. Volkswagen,2 238,"14,1",10 145,"13,2",2 218,"15,6",11 455,"14,7","0,9","-11,4",2018,6,1
2. Toyota,1 561,"9,9",7 910,"10,3",1 378,"9,7",9 167,"11,8","13,3","-13,7",2018,6,1
3. Nissan,1 346,"8,5",6 783,"8,8",664,"4,7",3 887,"5,0","102,7","74,5",2018,6,1
4. BMW,1 454,"9,2",6 678,"8,7",1 036,"7,3",6 889,"8,8","40,3","-3,1",2018,6,1
5. Volvo,1 040,"6,6",6 188,"8,1",696,"4,9",5 560,"7,1","49,4","11,3",2018,6,1
6. Mercedes-Benz,1 025,"6,5",4 059,"5,3",1 103,"7,8",5 626,"7,2","-7,1","-27,9",2018,6,1
7. Tesla,1 112,"7,0",4 046,"5,3",851,"6,0",2 360,"3,0","30,7","71,4",2018,6,1
8. Skoda,689,"4,3",3 803,"5,0",937,"6,6",4 659,"6,0","-26,5","-18,4",2018,6,1
9. Ford,543,"3,4",3 153,"4,1",592,"4,2",3 492,"4,5","-8,3","-9,7",2018,6,1
10. Peugeot,512,"3,2",2 936,"3,8",437,"3,1",2 624,"3,4","17,2","11,9",2018,6,1
11. Audi,584,"3,7",2 804,"3,7",576,"4,0",3 602,"4,6","1,4","-22,2",2018,6,1
12. Kia,390,"2,5",2 356,"3,1",390,"2,7",2 146,"2,8","0,0","9,8",2018,6,1
13. Mitsubishi,676,"4,3",2 345,"3,1",438,"3,1",2 282,"2,9","54,3","2,8",2018,6,1
14. Mazda,378,"2,4",2 023,"2,6",419,"2,9",2 267,"2,9","-9,8","-10,8",2018,6,1
15. Hyundai,382,"2,4",1 991,"2,6",367,"2,6",1 916,"2,5","4,1","3,9",2018,6,1
16. Renault,312,"2,0",1 757,"2,3",518,"3,6",1 956,"2,5","-39,8","-10,2",2018,6,1
17. Opel,380,"2,4",1 724,"2,2",620,"4,4",1 957,"2,5","-38,7","-11,9",2018,6,1
18. Suzuki,289,"1,8",1 386,"1,8",265,"1,9",1 741,"2,2","9,1","-20,4",2018,6,1
19. Citroen,194,"1,2",1 019,"1,3",138,"1,0",1 132,"1,5","40,6","-10,0",2018,6,1
20. Subaru,151,"1,0",858,"1,1",133,"0,9",820,"1,1","13,5","4,6",2018,6,1
21. Honda,70,"0,4",496,"0,6",102,"0,7",675,"0,9","-31,4","-26,5",2018,6,1
22. MINI,104,"0,7",480,"0,6",57,"0,4",329,"0,4","82,5","45,9",2018,6,1
23. Lexus,99,"0,6",421,"0,5",77,"0,5",441,"0,6","28,6","-4,5",2018,6,1
24. Porsche,42,"0,3",311,"0,4",51,"0,4",321,"0,4","-17,6","-3,1",2018,6,1
25. Land Rover,33,"0,2",181,"0,2",31,"0,2",179,"0,2","6,5","1,1",2018,6,1
26. Alfa Romeo,74,"0,5",171,"0,2",21,"0,1",82,"0,1","252,4","108,5",2018,6,1
27. Dacia,32,"0,2",168,"0,2",12,"0,1",57,"0,1","166,7","194,7",2018,6,1
28. Jaguar,25,"0,2",144,"0,2",26,"0,2",137,"0,2","-3,8","5,1",2018,6,1
29. Seat,38,"0,2",117,"0,2",0,"0,0",0,"0,0",,,2018,6,1
30. Smart,24,"0,2",101,"0,1",15,"0,1",18,"0,0","60,0","461,1",2018,6,1
31. Jeep,11,"0,1",48,"0,1",2,"0,0",8,"0,0","450,0","500,0",2018,6,1
32. Fiat,13,"0,1",40,"0,1",19,"0,1",81,"0,1","-31,6","-50,6",2018,6,1
33. DS,10,"0,1",39,"0,1",15,"0,1",42,"0,1","-33,3","-7,1",2018,6,1
34. SsangYong,3,"0,0",23,"0,0",9,"0,1",22,"0,0","-66,7","4,5",2018,6,1
35. Chevrolet US,6,"0,0",13,"0,0",0,"0,0",2,"0,0",,"550,0",2018,6,1
36. Maserati,1,"0,0",10,"0,0",6,"0,0",20,"0,0","-83,3","-50,0",2018,6,1
37. Aston Martin,1,"0,0",4,"0,0",3,"0,0",9,"0,0","-66,7","-55,6",2018,6,1
38. Bygg Bil,1,"0,0",2,"0,0",0,"0,0",0,"0,0",,,2018,6,1
38. Lamborghini,0,"0,0",2,"0,0",0,"0,0",0,"0,0",,,2018,6,1
38. Nilsson,0,"0,0",2,"0,0",5,"0,0",14,"0,0","-100,0","-85,7",2018,6,1
39. Alpina,0,"0,0",1,"0,0",0,"0,0",0,"0,0",,,2018,6,1
39. Amatør Bil,1,"0,0",1,"0,0",0,"0,0",0,"0,0",,,2018,6,1
39. Cadillac,0,"0,0",1,"0,0",0,"0,0",0,"0,0",,,2018,6,1
39. Chrysler,1,"0,0",1,"0,0",0,"0,0",0,"0,0",,,2018,6,1
39. Ferrari,0,"0,0",1,"0,0",0,"0,0",5,"0,0",,"-80,0",2018,6,1
39. Iveco,0,"0,0",1,"0,0",1,"0,0",1,"0,0","-100,0","0,0",2018,6,1
39. LEVC,0,"0,0",1,"0,0",0,"0,0",0,"0,0",,,2018,6,1
39. McLaren,0,"0,0",1,"0,0",0,"0,0",0,"0,0",,,2018,6,1
40. Morgan,0,"0,0",0,"0,0",0,"0,0",1,"0,0",,"-100,0",2018,6,1
40. Rosenbauer,0,"0,0",0,"0,0",0,"0,0",1,"0,0",,"-100,0",2018,6,1
