car_name,count_CM_CY,pct_CM_CY,cum_YTD_CY,pct_YTD_CY,count_CM_LY,pct_CM_LY,cum_YTD_LY,pct_YTD_LY,chg_CM_YOY,chg_YTD_YOY,yearsel,monthsel,velgfordelt
TOTALT,11 476,100,89 459,100,11 040,100,88 789,100,"3,9","0,8",2017,7,1
1. Volkswagen,1 440,"12,5",12 895,"14,4",2 076,"18,8",15 625,"17,6","-30,6","-17,5",2017,7,1
2. Toyota,1 602,"14,0",10 769,"12,0",1 127,"10,2",9 866,"11,1","42,1","9,2",2017,7,1
3. BMW,778,"6,8",7 667,"8,6",636,"5,8",6 249,"7,0","22,3","22,7",2017,7,1
4. Mercedes-Benz,884,"7,7",6 510,"7,3",607,"5,5",5 069,"5,7","45,6","28,4",2017,7,1
5. Volvo,643,"5,6",6 203,"6,9",635,"5,8",4 830,"5,4","1,3","28,4",2017,7,1
6. Skoda,707,"6,2",5 366,"6,0",602,"5,5",4 773,"5,4","17,4","12,4",2017,7,1
7. Nissan,549,"4,8",4 436,"5,0",590,"5,3",5 224,"5,9","-6,9","-15,1",2017,7,1
8. Audi,560,"4,9",4 162,"4,7",687,"6,2",4 096,"4,6","-18,5","1,6",2017,7,1
9. Ford,548,"4,8",4 040,"4,5",510,"4,6",5 053,"5,7","7,5","-20,0",2017,7,1
10. Peugeot,427,"3,7",3 051,"3,4",314,"2,8",2 871,"3,2","36,0","6,3",2017,7,1
11. Mazda,406,"3,5",2 673,"3,0",489,"4,4",4 051,"4,6","-17,0","-34,0",2017,7,1
12. Mitsubishi,367,"3,2",2 649,"3,0",641,"5,8",4 259,"4,8","-42,7","-37,8",2017,7,1
13. Kia,402,"3,5",2 548,"2,8",339,"3,1",2 409,"2,7","18,6","5,8",2017,7,1
14. Tesla,160,"1,4",2 520,"2,8",66,"0,6",1 314,"1,5","142,4","91,8",2017,7,1
15. Opel,376,"3,3",2 333,"2,6",311,"2,8",2 239,"2,5","20,9","4,2",2017,7,1
16. Renault,313,"2,7",2 269,"2,5",128,"1,2",1 917,"2,2","144,5","18,4",2017,7,1
17. Hyundai,260,"2,3",2 176,"2,4",229,"2,1",1 304,"1,5","13,5","66,9",2017,7,1
18. Suzuki,272,"2,4",2 013,"2,3",213,"1,9",1 754,"2,0","27,7","14,8",2017,7,1
19. Citroen,216,"1,9",1 348,"1,5",175,"1,6",1 093,"1,2","23,4","23,3",2017,7,1
20. Subaru,159,"1,4",979,"1,1",201,"1,8",1 273,"1,4","-20,9","-23,1",2017,7,1
21. Honda,67,"0,6",742,"0,8",145,"1,3",1 146,"1,3","-53,8","-35,3",2017,7,1
22. Lexus,76,"0,7",517,"0,6",89,"0,8",623,"0,7","-14,6","-17,0",2017,7,1
23. MINI,80,"0,7",409,"0,5",97,"0,9",529,"0,6","-17,5","-22,7",2017,7,1
24. Porsche,65,"0,6",386,"0,4",28,"0,3",283,"0,3","132,1","36,4",2017,7,1
25. Land Rover,12,"0,1",191,"0,2",24,"0,2",252,"0,3","-50,0","-24,2",2017,7,1
26. Jaguar,13,"0,1",150,"0,2",23,"0,2",168,"0,2","-43,5","-10,7",2017,7,1
27. Alfa Romeo,29,"0,3",111,"0,1",1,"0,0",12,"0,0","2 800,0","825,0",2017,7,1
28. Fiat,6,"0,1",87,"0,1",3,"0,0",56,"0,1","100,0","55,4",2017,7,1
29. Dacia,13,"0,1",70,"0,1",8,"0,1",127,"0,1","62,5","-44,9",2017,7,1
30. DS,26,"0,2",68,"0,1",20,"0,2",170,"0,2","30,0","-60,0",2017,7,1
31. Smart,12,"0,1",30,"0,0",1,"0,0",46,"0,1","1 100,0","-34,8",2017,7,1
32. Maserati,2,"0,0",22,"0,0",1,"0,0",4,"0,0","100,0","450,0",2017,7,1
32. Ssangyong,0,"0,0",22,"0,0",9,"0,1",42,"0,0","-100,0","-47,6",2017,7,1
33. Nilsson,3,"0,0",17,"0,0",4,"0,0",12,"0,0","-25,0","41,7",2017,7,1
34. Jeep,2,"0,0",10,"0,0",8,"0,1",38,"0,0","-75,0","-73,7",2017,7,1
35. Aston Martin,0,"0,0",9,"0,0",0,"0,0",3,"0,0",,"200,0",2017,7,1
36. Ferrari,1,"0,0",6,"0,0",1,"0,0",3,"0,0","0,0","100,0",2017,7,1
37. Chevrolet US,0,"0,0",2,"0,0",0,"0,0",1,"0,0",,"100,0",2017,7,1
38. Iveco,0,"0,0",1,"0,0",0,"0,0",0,"0,0",,,2017,7,1
38. Morgan,0,"0,0",1,"0,0",1,"0,0",2,"0,0","-100,0","-50,0",2017,7,1
38. Rosenbauer,0,"0,0",1,"0,0",0,"0,0",0,"0,0",,,2017,7,1
39. Bentley,0,"0,0",0,"0,0",1,"0,0",2,"0,0","-100,0","-100,0",2017,7,1
39. Cadillac,0,"0,0",0,"0,0",0,"0,0",1,"0,0",,"-100,0",2017,7,1
