car_name,count_CM_CY,pct_CM_CY,cum_YTD_CY,pct_YTD_CY,count_CM_LY,pct_CM_LY,cum_YTD_LY,pct_YTD_LY,chg_CM_YOY,chg_YTD_YOY,yearsel,monthsel,velgfordelt
TOTALT,11 339,100,49 580,100,14 116,100,51 204,100,"-19,7","-3,2",2017,4,1
1. Volkswagen,1 974,"17,4",7 017,"14,2",3 017,"21,4",9 040,"17,7","-34,6","-22,4",2017,4,1
2. Toyota,1 311,"11,6",5 887,"11,9",1 432,"10,1",5 449,"10,6","-8,4","8,0",2017,4,1
3. BMW,1 023,"9,0",4 715,"9,5",1 052,"7,5",3 973,"7,8","-2,8","18,7",2017,4,1
4. Volvo,983,"8,7",3 982,"8,0",748,"5,3",2 810,"5,5","31,4","41,7",2017,4,1
5. Mercedes-Benz,757,"6,7",3 420,"6,9",661,"4,7",2 764,"5,4","14,5","23,7",2017,4,1
6. Nissan,500,"4,4",2 646,"5,3",782,"5,5",3 402,"6,6","-36,1","-22,2",2017,4,1
7. Skoda,756,"6,7",2 604,"5,3",785,"5,6",2 728,"5,3","-3,7","-4,5",2017,4,1
8. Ford,546,"4,8",2 334,"4,7",715,"5,1",2 938,"5,7","-23,6","-20,6",2017,4,1
9. Audi,645,"5,7",2 260,"4,6",685,"4,9",2 318,"4,5","-5,8","-2,5",2017,4,1
10. Peugeot,331,"2,9",1 738,"3,5",483,"3,4",1 753,"3,4","-31,5","-0,9",2017,4,1
11. Mazda,367,"3,2",1 453,"2,9",564,"4,0",2 386,"4,7","-34,9","-39,1",2017,4,1
12. Kia,225,"2,0",1 444,"2,9",376,"2,7",1 348,"2,6","-40,2","7,1",2017,4,1
13. Mitsubishi,293,"2,6",1 437,"2,9",630,"4,5",2 261,"4,4","-53,5","-36,4",2017,4,1
14. Tesla,75,"0,7",1 283,"2,6",96,"0,7",801,"1,6","-21,9","60,2",2017,4,1
15. Hyundai,312,"2,8",1 277,"2,6",212,"1,5",639,"1,2","47,2","99,8",2017,4,1
16. Renault,131,"1,2",1 242,"2,5",325,"2,3",1 139,"2,2","-59,7","9,0",2017,4,1
17. Suzuki,179,"1,6",1 151,"2,3",252,"1,8",1 124,"2,2","-29,0","2,4",2017,4,1
18. Opel,203,"1,8",906,"1,8",352,"2,5",1 142,"2,2","-42,3","-20,7",2017,4,1
19. Citroen,183,"1,6",726,"1,5",146,"1,0",646,"1,3","25,3","12,4",2017,4,1
20. Subaru,190,"1,7",496,"1,0",279,"2,0",579,"1,1","-31,9","-14,3",2017,4,1
21. Honda,114,"1,0",453,"0,9",186,"1,3",654,"1,3","-38,7","-30,7",2017,4,1
22. Lexus,54,"0,5",304,"0,6",71,"0,5",387,"0,8","-23,9","-21,4",2017,4,1
23. MINI,32,"0,3",209,"0,4",53,"0,4",225,"0,4","-39,6","-7,1",2017,4,1
24. Porsche,50,"0,4",205,"0,4",49,"0,3",173,"0,3","2,0","18,5",2017,4,1
25. Land Rover,32,"0,3",113,"0,2",32,"0,2",140,"0,3","0,0","-19,3",2017,4,1
26. Jaguar,6,"0,1",80,"0,2",18,"0,1",61,"0,1","-66,7","31,1",2017,4,1
27. Alfa Romeo,24,"0,2",47,"0,1",3,"0,0",8,"0,0","700,0","487,5",2017,4,1
28. Fiat,14,"0,1",46,"0,1",14,"0,1",41,"0,1","0,0","12,2",2017,4,1
29. Dacia,5,"0,0",36,"0,1",28,"0,2",74,"0,1","-82,1","-51,4",2017,4,1
30. DS,1,"0,0",20,"0,0",49,"0,3",113,"0,2","-98,0","-82,3",2017,4,1
31. Maserati,4,"0,0",11,"0,0",0,"0,0",3,"0,0",,"266,7",2017,4,1
31. Ssangyong,6,"0,1",11,"0,0",6,"0,0",27,"0,1","0,0","-59,3",2017,4,1
32. Nilsson,4,"0,0",7,"0,0",0,"0,0",2,"0,0",,"250,0",2017,4,1
33. Aston Martin,3,"0,0",5,"0,0",0,"0,0",2,"0,0",,"150,0",2017,4,1
33. Jeep,1,"0,0",5,"0,0",4,"0,0",20,"0,0","-75,0","-75,0",2017,4,1
34. Ferrari,2,"0,0",4,"0,0",0,"0,0",0,"0,0",,,2017,4,1
35. Smart,0,"0,0",3,"0,0",11,"0,1",34,"0,1","-100,0","-91,2",2017,4,1
36. Chevrolet US,2,"0,0",2,"0,0",0,"0,0",0,"0,0",,,2017,4,1
37. Morgan,1,"0,0",1,"0,0",0,"0,0",0,"0,0",,,2017,4,1
