car_name,count_CM_CY,pct_CM_CY,cum_YTD_CY,pct_YTD_CY,count_CM_LY,pct_CM_LY,cum_YTD_LY,pct_YTD_LY,chg_CM_YOY,chg_YTD_YOY,yearsel,monthsel,velgfordelt
TOTALT,12 472,100,128 830,100,11 932,100,127 807,100,"4,5","0,8",2017,10,1
1. Volkswagen,2 420,"19,4",19 806,"15,4",2 161,"18,1",22 229,"17,4","12,0","-10,9",2017,10,1
2. Toyota,1 623,"13,0",15 281,"11,9",1 327,"11,1",14 840,"11,6","22,3","3,0",2017,10,1
3. BMW,1 082,"8,7",10 786,"8,4",1 096,"9,2",9 569,"7,5","-1,3","12,7",2017,10,1
4. Mercedes-Benz,645,"5,2",9 014,"7,0",732,"6,1",7 573,"5,9","-11,9","19,0",2017,10,1
5. Volvo,997,"8,0",8 875,"6,9",732,"6,1",6 788,"5,3","36,2","30,7",2017,10,1
6. Skoda,717,"5,7",7 436,"5,8",628,"5,3",6 583,"5,2","14,2","13,0",2017,10,1
7. Audi,580,"4,7",6 138,"4,8",603,"5,1",6 181,"4,8","-3,8","-0,7",2017,10,1
8. Nissan,501,"4,0",5 767,"4,5",646,"5,4",6 957,"5,4","-22,4","-17,1",2017,10,1
9. Ford,563,"4,5",5 527,"4,3",534,"4,5",6 909,"5,4","5,4","-20,0",2017,10,1
10. Tesla,292,"2,3",5 009,"3,9",123,"1,0",2 623,"2,1","137,4","91,0",2017,10,1
11. Peugeot,413,"3,3",4 397,"3,4",415,"3,5",4 101,"3,2","-0,5","7,2",2017,10,1
12. Mitsubishi,488,"3,9",3 960,"3,1",426,"3,6",5 746,"4,5","14,6","-31,1",2017,10,1
13. Kia,262,"2,1",3 726,"2,9",315,"2,6",3 543,"2,8","-16,8","5,2",2017,10,1
14. Mazda,231,"1,9",3 580,"2,8",524,"4,4",5 642,"4,4","-55,9","-36,5",2017,10,1
15. Opel,306,"2,5",3 241,"2,5",249,"2,1",3 019,"2,4","22,9","7,4",2017,10,1
16. Hyundai,282,"2,3",3 091,"2,4",221,"1,9",1 917,"1,5","27,6","61,2",2017,10,1
17. Suzuki,207,"1,7",2 766,"2,1",226,"1,9",2 450,"1,9","-8,4","12,9",2017,10,1
18. Renault,82,"0,7",2 701,"2,1",216,"1,8",2 523,"2,0","-62,0","7,1",2017,10,1
19. Citroen,140,"1,1",1 798,"1,4",171,"1,4",1 575,"1,2","-18,1","14,2",2017,10,1
20. Subaru,141,"1,1",1 485,"1,2",217,"1,8",1 985,"1,6","-35,0","-25,2",2017,10,1
21. Honda,114,"0,9",1 083,"0,8",111,"0,9",1 606,"1,3","2,7","-32,6",2017,10,1
22. Lexus,93,"0,7",824,"0,6",86,"0,7",992,"0,8","8,1","-16,9",2017,10,1
23. MINI,126,"1,0",769,"0,6",56,"0,5",712,"0,6","125,0","8,0",2017,10,1
24. Porsche,30,"0,2",519,"0,4",14,"0,1",361,"0,3","114,3","43,8",2017,10,1
25. Land Rover,29,"0,2",315,"0,2",16,"0,1",348,"0,3","81,3","-9,5",2017,10,1
26. Jaguar,23,"0,2",221,"0,2",34,"0,3",288,"0,2","-32,4","-23,3",2017,10,1
27. Alfa Romeo,13,"0,1",159,"0,1",3,"0,0",36,"0,0","333,3","341,7",2017,10,1
28. Fiat,8,"0,1",126,"0,1",10,"0,1",101,"0,1","-20,0","24,8",2017,10,1
29. Dacia,6,"0,0",94,"0,1",14,"0,1",194,"0,2","-57,1","-51,5",2017,10,1
29. Smart,33,"0,3",94,"0,1",2,"0,0",53,"0,0","1 550,0","77,4",2017,10,1
30. DS,0,"0,0",91,"0,1",9,"0,1",193,"0,2","-100,0","-52,8",2017,10,1
31. Ssangyong,2,"0,0",40,"0,0",5,"0,0",64,"0,1","-60,0","-37,5",2017,10,1
32. Jeep,20,"0,2",34,"0,0",5,"0,0",61,"0,0","300,0","-44,3",2017,10,1
33. Nilsson,1,"0,0",27,"0,0",4,"0,0",23,"0,0","-75,0","17,4",2017,10,1
34. Maserati,2,"0,0",26,"0,0",0,"0,0",6,"0,0",,"333,3",2017,10,1
35. Aston Martin,0,"0,0",9,"0,0",0,"0,0",3,"0,0",,"200,0",2017,10,1
36. Ferrari,0,"0,0",7,"0,0",0,"0,0",4,"0,0",,"75,0",2017,10,1
37. Morgan,0,"0,0",3,"0,0",0,"0,0",2,"0,0",,"50,0",2017,10,1
38. Chevrolet US,0,"0,0",2,"0,0",1,"0,0",2,"0,0","-100,0","0,0",2017,10,1
39. Amatør Bil,0,"0,0",1,"0,0",0,"0,0",0,"0,0",,,2017,10,1
39. Iveco,0,"0,0",1,"0,0",0,"0,0",0,"0,0",,,2017,10,1
39. Rosenbauer,0,"0,0",1,"0,0",0,"0,0",0,"0,0",,,2017,10,1
40. Bentley,0,"0,0",0,"0,0",0,"0,0",3,"0,0",,"-100,0",2017,10,1
40. Cadillac,0,"0,0",0,"0,0",0,"0,0",1,"0,0",,"-100,0",2017,10,1
40. Lamborghini,0,"0,0",0,"0,0",0,"0,0",1,"0,0",,"-100,0",2017,10,1
