car_name,count_CM_CY,pct_CM_CY,cum_YTD_CY,pct_YTD_CY,count_CM_LY,pct_CM_LY,cum_YTD_LY,pct_YTD_LY,chg_CM_YOY,chg_YTD_YOY,yearsel,monthsel,velgfordelt
TOTALT,11 788,100,24 843,100,12 222,100,23 213,100,"-3,6","7,0",2017,2,0
1. Volkswagen Golf,641,"5,4",1 379,"5,6",1 247,"10,2",2 245,"9,7","-48,6","-38,6",2017,2,0
2. BMW i3,497,"4,2",1 119,"4,5",248,"2,0",542,"2,3","100,4","106,5",2017,2,0
3. Volkswagen Passat,533,"4,5",1 048,"4,2",310,"2,5",546,"2,4","71,9","91,9",2017,2,0
4. Toyota Rav4,396,"3,4",869,"3,5",436,"3,6",764,"3,3","-9,2","13,7",2017,2,0
5. Nissan Leaf,408,"3,5",760,"3,1",453,"3,7",737,"3,2","-9,9","3,1",2017,2,0
6. Toyota Yaris,273,"2,3",616,"2,5",296,"2,4",613,"2,6","-7,8","0,5",2017,2,0
7. Mitsubishi Outlander,414,"3,5",578,"2,3",553,"4,5",698,"3,0","-25,1","-17,2",2017,2,0
8. Toyota Auris,289,"2,5",569,"2,3",332,"2,7",632,"2,7","-13,0","-10,0",2017,2,0
9. Skoda Octavia,199,"1,7",557,"2,2",399,"3,3",612,"2,6","-50,1","-9,0",2017,2,0
10. Volvo XC90,145,"1,2",556,"2,2",151,"1,2",366,"1,6","-4,0","51,9",2017,2,0
11. Renault Zoe,279,"2,4",519,"2,1",50,"0,4",247,"1,1","458,0","110,1",2017,2,0
12. Mercedes-Benz GLC,230,"2,0",515,"2,1",106,"0,9",222,"1,0","117,0","132,0",2017,2,0
13. Volvo V90,308,"2,6",510,"2,1",0,"0,0",0,"0,0",,,2017,2,0
14. Toyota C-HR,252,"2,1",498,"2,0",0,"0,0",0,"0,0",,,2017,2,0
15. Volkswagen Tiguan,280,"2,4",419,"1,7",64,"0,5",124,"0,5","337,5","237,9",2017,2,0
16. Kia Niro,198,"1,7",412,"1,7",0,"0,0",0,"0,0",,,2017,2,0
17. Peugeot 3008,191,"1,6",407,"1,6",33,"0,3",62,"0,3","478,8","556,5",2017,2,0
18. Volvo V60,136,"1,2",384,"1,5",155,"1,3",314,"1,4","-12,3","22,3",2017,2,0
19. Skoda Superb,176,"1,5",381,"1,5",218,"1,8",404,"1,7","-19,3","-5,7",2017,2,0
19. Volvo V40,161,"1,4",381,"1,5",79,"0,6",133,"0,6","103,8","186,5",2017,2,0
