car_name,count_CM_CY,pct_CM_CY,cum_YTD_CY,pct_YTD_CY,count_CM_LY,pct_CM_LY,cum_YTD_LY,pct_YTD_LY,chg_CM_YOY,chg_YTD_YOY,yearsel,monthsel,velgfordelt
TOTALT,13 743,100,142 573,100,13 194,100,141 001,100,"4,2","1,1",2017,11,1
1. Volkswagen,1 638,"11,9",21 444,"15,0",2 106,"16,0",24 335,"17,3","-22,2","-11,9",2017,11,1
2. Toyota,1 568,"11,4",16 849,"11,8",1 375,"10,4",16 215,"11,5","14,0","3,9",2017,11,1
3. BMW,1 188,"8,6",11 974,"8,4",1 663,"12,6",11 232,"8,0","-28,6","6,6",2017,11,1
4. Volvo,1 162,"8,5",10 037,"7,0",754,"5,7",7 542,"5,3","54,1","33,1",2017,11,1
5. Mercedes-Benz,661,"4,8",9 675,"6,8",807,"6,1",8 380,"5,9","-18,1","15,5",2017,11,1
6. Skoda,840,"6,1",8 276,"5,8",665,"5,0",7 248,"5,1","26,3","14,2",2017,11,1
7. Audi,738,"5,4",6 876,"4,8",645,"4,9",6 826,"4,8","14,4","0,7",2017,11,1
8. Nissan,382,"2,8",6 149,"4,3",571,"4,3",7 528,"5,3","-33,1","-18,3",2017,11,1
9. Ford,607,"4,4",6 134,"4,3",690,"5,2",7 599,"5,4","-12,0","-19,3",2017,11,1
10. Tesla,996,"7,2",6 005,"4,2",170,"1,3",2 793,"2,0","485,9","115,0",2017,11,1
11. Peugeot,565,"4,1",4 962,"3,5",427,"3,2",4 528,"3,2","32,3","9,6",2017,11,1
12. Mitsubishi,473,"3,4",4 433,"3,1",472,"3,6",6 218,"4,4","0,2","-28,7",2017,11,1
13. Kia,535,"3,9",4 261,"3,0",343,"2,6",3 886,"2,8","56,0","9,7",2017,11,1
14. Mazda,252,"1,8",3 832,"2,7",420,"3,2",6 062,"4,3","-40,0","-36,8",2017,11,1
15. Opel,349,"2,5",3 590,"2,5",317,"2,4",3 336,"2,4","10,1","7,6",2017,11,1
16. Hyundai,369,"2,7",3 460,"2,4",400,"3,0",2 317,"1,6","-7,8","49,3",2017,11,1
17. Suzuki,241,"1,8",3 007,"2,1",269,"2,0",2 719,"1,9","-10,4","10,6",2017,11,1
18. Renault,285,"2,1",2 986,"2,1",202,"1,5",2 725,"1,9","41,1","9,6",2017,11,1
19. Citroen,122,"0,9",1 920,"1,3",161,"1,2",1 736,"1,2","-24,2","10,6",2017,11,1
20. Subaru,258,"1,9",1 743,"1,2",279,"2,1",2 264,"1,6","-7,5","-23,0",2017,11,1
21. Honda,96,"0,7",1 179,"0,8",109,"0,8",1 715,"1,2","-11,9","-31,3",2017,11,1
22. Lexus,83,"0,6",907,"0,6",89,"0,7",1 081,"0,8","-6,7","-16,1",2017,11,1
23. MINI,103,"0,7",872,"0,6",78,"0,6",790,"0,6","32,1","10,4",2017,11,1
24. Porsche,67,"0,5",586,"0,4",29,"0,2",390,"0,3","131,0","50,3",2017,11,1
25. Land Rover,48,"0,3",363,"0,3",32,"0,2",380,"0,3","50,0","-4,5",2017,11,1
26. Jaguar,34,"0,2",255,"0,2",33,"0,3",321,"0,2","3,0","-20,6",2017,11,1
27. Alfa Romeo,24,"0,2",183,"0,1",4,"0,0",40,"0,0","500,0","357,5",2017,11,1
28. Fiat,4,"0,0",130,"0,1",12,"0,1",113,"0,1","-66,7","15,0",2017,11,1
29. Smart,31,"0,2",125,"0,1",2,"0,0",55,"0,0","1 450,0","127,3",2017,11,1
30. Dacia,8,"0,1",102,"0,1",31,"0,2",225,"0,2","-74,2","-54,7",2017,11,1
31. DS,0,"0,0",91,"0,1",1,"0,0",194,"0,1","-100,0","-53,1",2017,11,1
32. Ssangyong,6,"0,0",46,"0,0",13,"0,1",77,"0,1","-53,8","-40,3",2017,11,1
33. Jeep,4,"0,0",38,"0,0",23,"0,2",84,"0,1","-82,6","-54,8",2017,11,1
34. Nilsson,3,"0,0",30,"0,0",2,"0,0",25,"0,0","50,0","20,0",2017,11,1
35. Maserati,3,"0,0",29,"0,0",0,"0,0",6,"0,0",,"383,3",2017,11,1
36. Aston Martin,0,"0,0",9,"0,0",0,"0,0",3,"0,0",,"200,0",2017,11,1
37. Ferrari,0,"0,0",7,"0,0",0,"0,0",4,"0,0",,"75,0",2017,11,1
38. Morgan,0,"0,0",3,"0,0",0,"0,0",2,"0,0",,"50,0",2017,11,1
39. Chevrolet US,0,"0,0",2,"0,0",0,"0,0",2,"0,0",,"0,0",2017,11,1
40. Amatør Bil,0,"0,0",1,"0,0",0,"0,0",0,"0,0",,,2017,11,1
40. Iveco,0,"0,0",1,"0,0",0,"0,0",0,"0,0",,,2017,11,1
40. Rosenbauer,0,"0,0",1,"0,0",0,"0,0",0,"0,0",,,2017,11,1
41. Bentley,0,"0,0",0,"0,0",0,"0,0",3,"0,0",,"-100,0",2017,11,1
41. Cadillac,0,"0,0",0,"0,0",0,"0,0",1,"0,0",,"-100,0",2017,11,1
41. Lamborghini,0,"0,0",0,"0,0",0,"0,0",1,"0,0",,"-100,0",2017,11,1
