car_name,count_CM_CY,pct_CM_CY,cum_YTD_CY,pct_YTD_CY,count_CM_LY,pct_CM_LY,cum_YTD_LY,pct_YTD_LY,chg_CM_YOY,chg_YTD_YOY,yearsel,monthsel,velgfordelt
TOTALT,13 055,100,13 055,100,10 991,100,10 991,100,"18,8","18,8",2017,1,0
1. Volkswagen Golf,738,"5,7",738,"5,7",998,"9,1",998,"9,1","-26,1","-26,1",2017,1,0
2. BMW i3,622,"4,8",622,"4,8",294,"2,7",294,"2,7","111,6","111,6",2017,1,0
3. Volkswagen Passat,515,"3,9",515,"3,9",236,"2,1",236,"2,1","118,2","118,2",2017,1,0
4. Toyota Rav4,473,"3,6",473,"3,6",328,"3,0",328,"3,0","44,2","44,2",2017,1,0
5. Volvo XC90,411,"3,1",411,"3,1",215,"2,0",215,"2,0","91,2","91,2",2017,1,0
6. Skoda Octavia,358,"2,7",358,"2,7",213,"1,9",213,"1,9","68,1","68,1",2017,1,0
7. Nissan Leaf,352,"2,7",352,"2,7",284,"2,6",284,"2,6","23,9","23,9",2017,1,0
8. Toyota Yaris,343,"2,6",343,"2,6",317,"2,9",317,"2,9","8,2","8,2",2017,1,0
9. Mercedes-Benz GLC,285,"2,2",285,"2,2",116,"1,1",116,"1,1","145,7","145,7",2017,1,0
10. Toyota Auris,280,"2,1",280,"2,1",300,"2,7",300,"2,7","-6,7","-6,7",2017,1,0
11. Volvo V60,248,"1,9",248,"1,9",159,"1,4",159,"1,4","56,0","56,0",2017,1,0
12. Toyota C-HR,246,"1,9",246,"1,9",0,"0,0",0,"0,0",,,2017,1,0
13. Renault Zoe,240,"1,8",240,"1,8",197,"1,8",197,"1,8","21,8","21,8",2017,1,0
14. Tesla Model X,238,"1,8",238,"1,8",0,"0,0",0,"0,0",,,2017,1,0
15. BMW X1,226,"1,7",226,"1,7",118,"1,1",118,"1,1","91,5","91,5",2017,1,0
16. Volvo V40,220,"1,7",220,"1,7",54,"0,5",54,"0,5","307,4","307,4",2017,1,0
17. Peugeot 3008,216,"1,7",216,"1,7",29,"0,3",29,"0,3","644,8","644,8",2017,1,0
18. Kia Niro,214,"1,6",214,"1,6",0,"0,0",0,"0,0",,,2017,1,0
19. Skoda Superb,205,"1,6",205,"1,6",186,"1,7",186,"1,7","10,2","10,2",2017,1,0
20. BMW 2-serie,202,"1,5",202,"1,5",42,"0,4",42,"0,4","381,0","381,0",2017,1,0
20. Volvo V90,202,"1,5",202,"1,5",0,"0,0",0,"0,0",,,2017,1,0
