car_name,count_CM_CY,pct_CM_CY,cum_YTD_CY,pct_YTD_CY,count_CM_LY,pct_CM_LY,cum_YTD_LY,pct_YTD_LY,chg_CM_YOY,chg_YTD_YOY,yearsel,monthsel,velgfordelt
TOTALT,13 046,100,60 900,100,14 175,100,63 755,100,"-8,0","-4,5",2018,5,1
1. Volkswagen,1 929,"14,8",7 907,"13,0",2 220,"15,7",9 237,"14,5","-13,1","-14,4",2018,5,1
2. Toyota,1 639,"12,6",6 349,"10,4",1 902,"13,4",7 789,"12,2","-13,8","-18,5",2018,5,1
3. Nissan,824,"6,3",5 437,"8,9",577,"4,1",3 223,"5,1","42,8","68,7",2018,5,1
4. BMW,986,"7,6",5 224,"8,6",1 138,"8,0",5 853,"9,2","-13,4","-10,7",2018,5,1
5. Volvo,845,"6,5",5 148,"8,5",882,"6,2",4 864,"7,6","-4,2","5,8",2018,5,1
6. Skoda,696,"5,3",3 114,"5,1",1 118,"7,9",3 722,"5,8","-37,7","-16,3",2018,5,1
7. Mercedes-Benz,815,"6,2",3 034,"5,0",1 103,"7,8",4 523,"7,1","-26,1","-32,9",2018,5,1
8. Tesla,519,"4,0",2 934,"4,8",226,"1,6",1 509,"2,4","129,6","94,4",2018,5,1
9. Ford,539,"4,1",2 610,"4,3",566,"4,0",2 900,"4,5","-4,8","-10,0",2018,5,1
10. Peugeot,556,"4,3",2 424,"4,0",449,"3,2",2 187,"3,4","23,8","10,8",2018,5,1
11. Audi,607,"4,7",2 220,"3,6",766,"5,4",3 026,"4,7","-20,8","-26,6",2018,5,1
12. Kia,436,"3,3",1 966,"3,2",312,"2,2",1 756,"2,8","39,7","12,0",2018,5,1
13. Mitsubishi,406,"3,1",1 669,"2,7",407,"2,9",1 844,"2,9","-0,2","-9,5",2018,5,1
14. Mazda,394,"3,0",1 645,"2,7",395,"2,8",1 848,"2,9","-0,3","-11,0",2018,5,1
15. Hyundai,293,"2,2",1 609,"2,6",272,"1,9",1 549,"2,4","7,7","3,9",2018,5,1
16. Renault,263,"2,0",1 445,"2,4",196,"1,4",1 438,"2,3","34,2","0,5",2018,5,1
17. Opel,344,"2,6",1 344,"2,2",431,"3,0",1 337,"2,1","-20,2","0,5",2018,5,1
18. Suzuki,237,"1,8",1 097,"1,8",325,"2,3",1 476,"2,3","-27,1","-25,7",2018,5,1
19. Citroen,150,"1,1",825,"1,4",268,"1,9",994,"1,6","-44,0","-17,0",2018,5,1
20. Subaru,110,"0,8",707,"1,2",191,"1,3",687,"1,1","-42,4","2,9",2018,5,1
21. Honda,70,"0,5",426,"0,7",120,"0,8",573,"0,9","-41,7","-25,7",2018,5,1
22. MINI,57,"0,4",376,"0,6",63,"0,4",272,"0,4","-9,5","38,2",2018,5,1
23. Lexus,75,"0,6",322,"0,5",60,"0,4",364,"0,6","25,0","-11,5",2018,5,1
24. Porsche,49,"0,4",269,"0,4",65,"0,5",270,"0,4","-24,6","-0,4",2018,5,1
25. Land Rover,31,"0,2",148,"0,2",35,"0,2",148,"0,2","-11,4","0,0",2018,5,1
26. Dacia,24,"0,2",136,"0,2",9,"0,1",45,"0,1","166,7","202,2",2018,5,1
27. Jaguar,29,"0,2",119,"0,2",31,"0,2",111,"0,2","-6,5","7,2",2018,5,1
28. Alfa Romeo,32,"0,2",97,"0,2",14,"0,1",61,"0,1","128,6","59,0",2018,5,1
29. Seat,33,"0,3",79,"0,1",0,"0,0",0,"0,0",,,2018,5,1
30. Smart,16,"0,1",77,"0,1",0,"0,0",3,"0,0",,"2 466,7",2018,5,1
31. Jeep,13,"0,1",37,"0,1",1,"0,0",6,"0,0","1 200,0","516,7",2018,5,1
32. DS,14,"0,1",29,"0,0",7,"0,0",27,"0,0","100,0","7,4",2018,5,1
33. Fiat,4,"0,0",27,"0,0",16,"0,1",62,"0,1","-75,0","-56,5",2018,5,1
34. SsangYong,2,"0,0",20,"0,0",2,"0,0",13,"0,0","0,0","53,8",2018,5,1
35. Maserati,2,"0,0",9,"0,0",3,"0,0",14,"0,0","-33,3","-35,7",2018,5,1
36. Chevrolet US,2,"0,0",7,"0,0",0,"0,0",2,"0,0",,"250,0",2018,5,1
37. Aston Martin,1,"0,0",3,"0,0",1,"0,0",6,"0,0","0,0","-50,0",2018,5,1
38. Lamborghini,0,"0,0",2,"0,0",0,"0,0",0,"0,0",,,2018,5,1
38. Nilsson,1,"0,0",2,"0,0",2,"0,0",9,"0,0","-50,0","-77,8",2018,5,1
39. Alpina,1,"0,0",1,"0,0",0,"0,0",0,"0,0",,,2018,5,1
39. Bygg Bil,1,"0,0",1,"0,0",0,"0,0",0,"0,0",,,2018,5,1
39. Cadillac,0,"0,0",1,"0,0",0,"0,0",0,"0,0",,,2018,5,1
39. Ferrari,0,"0,0",1,"0,0",1,"0,0",5,"0,0","-100,0","-80,0",2018,5,1
39. Iveco,0,"0,0",1,"0,0",0,"0,0",0,"0,0",,,2018,5,1
39. LEVC,1,"0,0",1,"0,0",0,"0,0",0,"0,0",,,2018,5,1
39. McLaren,0,"0,0",1,"0,0",0,"0,0",0,"0,0",,,2018,5,1
40. Morgan,0,"0,0",0,"0,0",0,"0,0",1,"0,0",,"-100,0",2018,5,1
40. Rosenbauer,0,"0,0",0,"0,0",1,"0,0",1,"0,0","-100,0","-100,0",2018,5,1
