car_name,count_CM_CY,pct_CM_CY,cum_YTD_CY,pct_YTD_CY,count_CM_LY,pct_CM_LY,cum_YTD_LY,pct_YTD_LY,chg_CM_YOY,chg_YTD_YOY,yearsel,monthsel,velgfordelt
TOTALT,16 077,100,158 650,100,13 602,100,154 603,100,"18,2","2,6",2017,12,1
1. Volkswagen,1 768,"11,0",23 212,"14,6",2 239,"16,5",26 574,"17,2","-21,0","-12,7",2017,12,1
2. Toyota,1 131,"7,0",17 980,"11,3",1 238,"9,1",17 453,"11,3","-8,6","3,0",2017,12,1
3. BMW,1 145,"7,1",13 119,"8,3",866,"6,4",12 098,"7,8","32,2","8,4",2017,12,1
4. Volvo,1 713,"10,7",11 750,"7,4",1 235,"9,1",8 777,"5,7","38,7","33,9",2017,12,1
5. Mercedes-Benz,950,"5,9",10 625,"6,7",653,"4,8",9 033,"5,8","45,5","17,6",2017,12,1
6. Skoda,766,"4,8",9 042,"5,7",526,"3,9",7 774,"5,0","45,6","16,3",2017,12,1
7. Tesla,2 455,"15,3",8 460,"5,3",688,"5,1",3 481,"2,3","256,8","143,0",2017,12,1
8. Audi,797,"5,0",7 673,"4,8",827,"6,1",7 653,"5,0","-3,6","0,3",2017,12,1
9. Ford,681,"4,2",6 815,"4,3",727,"5,3",8 326,"5,4","-6,3","-18,1",2017,12,1
10. Nissan,216,"1,3",6 365,"4,0",533,"3,9",8 061,"5,2","-59,5","-21,0",2017,12,1
11. Peugeot,319,"2,0",5 281,"3,3",270,"2,0",4 798,"3,1","18,1","10,1",2017,12,1
12. Mitsubishi,571,"3,6",5 004,"3,2",444,"3,3",6 662,"4,3","28,6","-24,9",2017,12,1
13. Kia,392,"2,4",4 653,"2,9",327,"2,4",4 213,"2,7","19,9","10,4",2017,12,1
14. Mazda,446,"2,8",4 278,"2,7",541,"4,0",6 603,"4,3","-17,6","-35,2",2017,12,1
15. Opel,399,"2,5",3 989,"2,5",372,"2,7",3 708,"2,4","7,3","7,6",2017,12,1
16. Hyundai,327,"2,0",3 787,"2,4",423,"3,1",2 740,"1,8","-22,7","38,2",2017,12,1
17. Renault,517,"3,2",3 503,"2,2",224,"1,6",2 949,"1,9","130,8","18,8",2017,12,1
18. Suzuki,235,"1,5",3 242,"2,0",271,"2,0",2 990,"1,9","-13,3","8,4",2017,12,1
19. Subaru,504,"3,1",2 247,"1,4",508,"3,7",2 772,"1,8","-0,8","-18,9",2017,12,1
20. Citroen,120,"0,7",2 040,"1,3",119,"0,9",1 855,"1,2","0,8","10,0",2017,12,1
21. Honda,71,"0,4",1 250,"0,8",118,"0,9",1 833,"1,2","-39,8","-31,8",2017,12,1
22. Lexus,96,"0,6",1 003,"0,6",82,"0,6",1 163,"0,8","17,1","-13,8",2017,12,1
23. MINI,118,"0,7",990,"0,6",68,"0,5",858,"0,6","73,5","15,4",2017,12,1
24. Porsche,98,"0,6",684,"0,4",27,"0,2",417,"0,3","263,0","64,0",2017,12,1
25. Land Rover,43,"0,3",406,"0,3",64,"0,5",444,"0,3","-32,8","-8,6",2017,12,1
26. Jaguar,44,"0,3",299,"0,2",38,"0,3",359,"0,2","15,8","-16,7",2017,12,1
27. Alfa Romeo,53,"0,3",236,"0,1",3,"0,0",43,"0,0","1 666,7","448,8",2017,12,1
28. Fiat,42,"0,3",172,"0,1",32,"0,2",145,"0,1","31,3","18,6",2017,12,1
29. Smart,17,"0,1",142,"0,1",1,"0,0",56,"0,0","1 600,0","153,6",2017,12,1
30. Dacia,8,"0,0",110,"0,1",80,"0,6",305,"0,2","-90,0","-63,9",2017,12,1
31. DS,2,"0,0",93,"0,1",6,"0,0",200,"0,1","-66,7","-53,5",2017,12,1
32. Jeep,10,"0,1",48,"0,0",39,"0,3",123,"0,1","-74,4","-61,0",2017,12,1
33. Ssangyong,1,"0,0",47,"0,0",5,"0,0",82,"0,1","-80,0","-42,7",2017,12,1
34. Nilsson,3,"0,0",33,"0,0",3,"0,0",28,"0,0","0,0","17,9",2017,12,1
35. Maserati,3,"0,0",32,"0,0",5,"0,0",11,"0,0","-40,0","190,9",2017,12,1
36. Seat,13,"0,1",13,"0,0",0,"0,0",0,"0,0",,,2017,12,1
37. Aston Martin,0,"0,0",9,"0,0",0,"0,0",3,"0,0",,"200,0",2017,12,1
38. Ferrari,1,"0,0",8,"0,0",0,"0,0",4,"0,0",,"100,0",2017,12,1
39. Morgan,0,"0,0",3,"0,0",0,"0,0",2,"0,0",,"50,0",2017,12,1
40. Chevrolet US,0,"0,0",2,"0,0",0,"0,0",2,"0,0",,"0,0",2017,12,1
41. Amatør Bil,0,"0,0",1,"0,0",0,"0,0",0,"0,0",,,2017,12,1
41. Bentley,1,"0,0",1,"0,0",0,"0,0",3,"0,0",,"-66,7",2017,12,1
41. Iveco,0,"0,0",1,"0,0",0,"0,0",0,"0,0",,,2017,12,1
41. McLaren,1,"0,0",1,"0,0",0,"0,0",0,"0,0",,,2017,12,1
41. Rosenbauer,0,"0,0",1,"0,0",0,"0,0",0,"0,0",,,2017,12,1
42. Cadillac,0,"0,0",0,"0,0",0,"0,0",1,"0,0",,"-100,0",2017,12,1
42. Lamborghini,0,"0,0",0,"0,0",0,"0,0",1,"0,0",,"-100,0",2017,12,1
