car_name,count_CM_CY,pct_CM_CY,cum_YTD_CY,pct_YTD_CY,count_CM_LY,pct_CM_LY,cum_YTD_LY,pct_YTD_LY,chg_CM_YOY,chg_YTD_YOY,yearsel,monthsel,velgfordelt
TOTALT,14 228,100,77 983,100,13 681,100,77 749,100,"4,0","0,3",2017,6,0
1. Volkswagen Golf,1 258,"8,8",5 375,"6,9",1 056,"7,7",7 482,"9,6","19,1","-28,2",2017,6,0
2. BMW i3,420,"3,0",2 769,"3,6",51,"0,4",1 112,"1,4","723,5","149,0",2017,6,0
3. Volkswagen Passat,393,"2,8",2 617,"3,4",463,"3,4",2 595,"3,3","-15,1","0,8",2017,6,0
4. Toyota Rav4,350,"2,5",2 401,"3,1",324,"2,4",2 090,"2,7","8,0","14,9",2017,6,0
5. Nissan Leaf,384,"2,7",2 202,"2,8",318,"2,3",2 592,"3,3","20,8","-15,0",2017,6,0
6. Toyota C-HR,234,"1,6",1 973,"2,5",0,"0,0",0,"0,0",,,2017,6,0
7. Skoda Octavia,364,"2,6",1 953,"2,5",328,"2,4",1 952,"2,5","11,0","0,1",2017,6,0
8. Mitsubishi Outlander,358,"2,5",1 922,"2,5",590,"4,3",3 149,"4,1","-39,3","-39,0",2017,6,0
9. Toyota Yaris,343,"2,4",1 885,"2,4",391,"2,9",2 210,"2,8","-12,3","-14,7",2017,6,0
10. Toyota Auris,246,"1,7",1 799,"2,3",435,"3,2",2 450,"3,2","-43,4","-26,6",2017,6,0
11. Volvo V90,254,"1,8",1 722,"2,2",0,"0,0",0,"0,0",,,2017,6,0
12. Tesla Model X,609,"4,3",1 507,"1,9",7,"0,1",7,"0,0","8 600,0","21 428,6",2017,6,0
13. Renault Zoe,428,"3,0",1 451,"1,9",398,"2,9",1 230,"1,6","7,5","18,0",2017,6,0
14. Mercedes-Benz GLC,264,"1,9",1 393,"1,8",118,"0,9",702,"0,9","123,7","98,4",2017,6,0
15. Volkswagen Tiguan,189,"1,3",1 297,"1,7",300,"2,2",706,"0,9","-37,0","83,7",2017,6,0
16. Nissan Qashqai,177,"1,2",1 189,"1,5",154,"1,1",986,"1,3","14,9","20,6",2017,6,0
17. Hyundai IONIQ,223,"1,6",1 098,"1,4",0,"0,0",0,"0,0",,,2017,6,0
18. Mercedes-Benz B-klasse,247,"1,7",1 093,"1,4",215,"1,6",971,"1,2","14,9","12,6",2017,6,0
19. Audi A3,149,"1,0",1 088,"1,4",241,"1,8",1 530,"2,0","-38,2","-28,9",2017,6,0
20. Peugeot 3008,214,"1,5",1 076,"1,4",16,"0,1",176,"0,2","1 237,5","511,4",2017,6,0
