car_name,count_CM_CY,pct_CM_CY,cum_YTD_CY,pct_YTD_CY,count_CM_LY,pct_CM_LY,cum_YTD_LY,pct_YTD_LY,chg_CM_YOY,chg_YTD_YOY,yearsel,monthsel,velgfordelt
TOTALT,13 055,100,13 055,100,10 991,100,10 991,100,"18,8","18,8",2017,1,1
1. Volkswagen,1 688,"12,9",1 688,"12,9",1 743,"15,9",1 743,"15,9","-3,2","-3,2",2017,1,1
2. BMW,1 540,"11,8",1 540,"11,8",1 089,"9,9",1 089,"9,9","41,4","41,4",2017,1,1
3. Toyota,1 526,"11,7",1 526,"11,7",1 106,"10,1",1 106,"10,1","38,0","38,0",2017,1,1
4. Volvo,1 158,"8,9",1 158,"8,9",643,"5,9",643,"5,9","80,1","80,1",2017,1,1
5. Mercedes-Benz,970,"7,4",970,"7,4",661,"6,0",661,"6,0","46,7","46,7",2017,1,1
6. Skoda,681,"5,2",681,"5,2",528,"4,8",528,"4,8","29,0","29,0",2017,1,1
7. Ford,617,"4,7",617,"4,7",752,"6,8",752,"6,8","-18,0","-18,0",2017,1,1
8. Nissan,615,"4,7",615,"4,7",673,"6,1",673,"6,1","-8,6","-8,6",2017,1,1
9. Peugeot,571,"4,4",571,"4,4",437,"4,0",437,"4,0","30,7","30,7",2017,1,1
10. Audi,565,"4,3",565,"4,3",559,"5,1",559,"5,1","1,1","1,1",2017,1,1
11. Kia,422,"3,2",422,"3,2",216,"2,0",216,"2,0","95,4","95,4",2017,1,1
12. Tesla,367,"2,8",367,"2,8",105,"1,0",105,"1,0","249,5","249,5",2017,1,1
13. Suzuki,352,"2,7",352,"2,7",311,"2,8",311,"2,8","13,2","13,2",2017,1,1
14. Hyundai,349,"2,7",349,"2,7",147,"1,3",147,"1,3","137,4","137,4",2017,1,1
15. Renault,306,"2,3",306,"2,3",250,"2,3",250,"2,3","22,4","22,4",2017,1,1
16. Mazda,284,"2,2",284,"2,2",621,"5,7",621,"5,7","-54,3","-54,3",2017,1,1
17. Mitsubishi,216,"1,7",216,"1,7",199,"1,8",199,"1,8","8,5","8,5",2017,1,1
18. Opel,191,"1,5",191,"1,5",237,"2,2",237,"2,2","-19,4","-19,4",2017,1,1
19. Citroen,163,"1,2",163,"1,2",181,"1,6",181,"1,6","-9,9","-9,9",2017,1,1
20. Honda,101,"0,8",101,"0,8",135,"1,2",135,"1,2","-25,2","-25,2",2017,1,1
21. Lexus,98,"0,8",98,"0,8",147,"1,3",147,"1,3","-33,3","-33,3",2017,1,1
22. Porsche,91,"0,7",91,"0,7",60,"0,5",60,"0,5","51,7","51,7",2017,1,1
23. MINI,65,"0,5",65,"0,5",67,"0,6",67,"0,6","-3,0","-3,0",2017,1,1
24. Subaru,39,"0,3",39,"0,3",32,"0,3",32,"0,3","21,9","21,9",2017,1,1
25. Jaguar,27,"0,2",27,"0,2",19,"0,2",19,"0,2","42,1","42,1",2017,1,1
26. Land Rover,18,"0,1",18,"0,1",35,"0,3",35,"0,3","-48,6","-48,6",2017,1,1
27. Dacia,9,"0,1",9,"0,1",1,"0,0",1,"0,0","800,0","800,0",2017,1,1
27. DS,9,"0,1",9,"0,1",13,"0,1",13,"0,1","-30,8","-30,8",2017,1,1
28. Alfa Romeo,6,"0,0",6,"0,0",0,"0,0",0,"0,0",,,2017,1,1
29. Fiat,3,"0,0",3,"0,0",5,"0,0",5,"0,0","-40,0","-40,0",2017,1,1
29. Nilsson,3,"0,0",3,"0,0",0,"0,0",0,"0,0",,,2017,1,1
30. Maserati,2,"0,0",2,"0,0",1,"0,0",1,"0,0","100,0","100,0",2017,1,1
31. Ferrari,1,"0,0",1,"0,0",0,"0,0",0,"0,0",,,2017,1,1
31. Smart,1,"0,0",1,"0,0",6,"0,1",6,"0,1","-83,3","-83,3",2017,1,1
31. Ssangyong,1,"0,0",1,"0,0",8,"0,1",8,"0,1","-87,5","-87,5",2017,1,1
32. Jeep,0,"0,0",0,"0,0",4,"0,0",4,"0,0","-100,0","-100,0",2017,1,1
