car_name,count_CM_CY,pct_CM_CY,cum_YTD_CY,pct_YTD_CY,count_CM_LY,pct_CM_LY,cum_YTD_LY,pct_YTD_LY,chg_CM_YOY,chg_YTD_YOY,yearsel,monthsel,velgfordelt
TOTALT,14 055,100,47 854,100,11 339,100,49 580,100,"24,0","-3,5",2018,4,1
1. Volkswagen,1 970,"14,0",5 978,"12,5",1 974,"17,4",7 017,"14,2","-0,2","-14,8",2018,4,1
2. Toyota,1 434,"10,2",4 710,"9,8",1 311,"11,6",5 887,"11,9","9,4","-20,0",2018,4,1
3. Nissan,1 149,"8,2",4 613,"9,6",500,"4,4",2 646,"5,3","129,8","74,3",2018,4,1
4. Volvo,1 301,"9,3",4 303,"9,0",983,"8,7",3 982,"8,0","32,3","8,1",2018,4,1
5. BMW,1 050,"7,5",4 238,"8,9",1 023,"9,0",4 715,"9,5","2,6","-10,1",2018,4,1
6. Skoda,805,"5,7",2 418,"5,1",756,"6,7",2 604,"5,3","6,5","-7,1",2018,4,1
7. Tesla,716,"5,1",2 415,"5,0",75,"0,7",1 283,"2,6","854,7","88,2",2018,4,1
8. Mercedes-Benz,739,"5,3",2 219,"4,6",757,"6,7",3 420,"6,9","-2,4","-35,1",2018,4,1
9. Ford,655,"4,7",2 071,"4,3",546,"4,8",2 334,"4,7","20,0","-11,3",2018,4,1
10. Peugeot,527,"3,7",1 868,"3,9",331,"2,9",1 738,"3,5","59,2","7,5",2018,4,1
11. Audi,601,"4,3",1 613,"3,4",645,"5,7",2 260,"4,6","-6,8","-28,6",2018,4,1
12. Kia,445,"3,2",1 530,"3,2",225,"2,0",1 444,"2,9","97,8","6,0",2018,4,1
13. Hyundai,301,"2,1",1 316,"2,8",312,"2,8",1 277,"2,6","-3,5","3,1",2018,4,1
14. Mitsubishi,288,"2,0",1 263,"2,6",293,"2,6",1 437,"2,9","-1,7","-12,1",2018,4,1
15. Mazda,381,"2,7",1 251,"2,6",367,"3,2",1 453,"2,9","3,8","-13,9",2018,4,1
16. Renault,308,"2,2",1 182,"2,5",131,"1,2",1 242,"2,5","135,1","-4,8",2018,4,1
17. Opel,298,"2,1",1 000,"2,1",203,"1,8",906,"1,8","46,8","10,4",2018,4,1
18. Suzuki,196,"1,4",860,"1,8",179,"1,6",1 151,"2,3","9,5","-25,3",2018,4,1
19. Citroen,206,"1,5",675,"1,4",183,"1,6",726,"1,5","12,6","-7,0",2018,4,1
20. Subaru,267,"1,9",597,"1,2",190,"1,7",496,"1,0","40,5","20,4",2018,4,1
21. Honda,54,"0,4",356,"0,7",114,"1,0",453,"0,9","-52,6","-21,4",2018,4,1
22. MINI,90,"0,6",319,"0,7",32,"0,3",209,"0,4","181,3","52,6",2018,4,1
23. Lexus,68,"0,5",247,"0,5",54,"0,5",304,"0,6","25,9","-18,8",2018,4,1
24. Porsche,51,"0,4",220,"0,5",50,"0,4",205,"0,4","2,0","7,3",2018,4,1
25. Land Rover,17,"0,1",117,"0,2",32,"0,3",113,"0,2","-46,9","3,5",2018,4,1
26. Dacia,31,"0,2",112,"0,2",5,"0,0",36,"0,1","520,0","211,1",2018,4,1
27. Jaguar,29,"0,2",90,"0,2",6,"0,1",80,"0,2","383,3","12,5",2018,4,1
28. Alfa Romeo,19,"0,1",65,"0,1",24,"0,2",47,"0,1","-20,8","38,3",2018,4,1
29. Smart,21,"0,1",61,"0,1",0,"0,0",3,"0,0",,"1 933,3",2018,4,1
30. Seat,4,"0,0",46,"0,1",0,"0,0",0,"0,0",,,2018,4,1
31. Jeep,6,"0,0",24,"0,1",1,"0,0",5,"0,0","500,0","380,0",2018,4,1
32. Fiat,10,"0,1",23,"0,0",14,"0,1",46,"0,1","-28,6","-50,0",2018,4,1
33. Ssangyong,1,"0,0",18,"0,0",6,"0,1",11,"0,0","-83,3","63,6",2018,4,1
34. DS,9,"0,1",15,"0,0",1,"0,0",20,"0,0","800,0","-25,0",2018,4,1
35. Maserati,4,"0,0",7,"0,0",4,"0,0",11,"0,0","0,0","-36,4",2018,4,1
36. Chevrolet US,2,"0,0",5,"0,0",2,"0,0",2,"0,0","0,0","150,0",2018,4,1
37. Aston Martin,0,"0,0",2,"0,0",3,"0,0",5,"0,0","-100,0","-60,0",2018,4,1
37. Lamborghini,0,"0,0",2,"0,0",0,"0,0",0,"0,0",,,2018,4,1
38. Cadillac,0,"0,0",1,"0,0",0,"0,0",0,"0,0",,,2018,4,1
38. Ferrari,1,"0,0",1,"0,0",2,"0,0",4,"0,0","-50,0","-75,0",2018,4,1
38. Iveco,1,"0,0",1,"0,0",0,"0,0",0,"0,0",,,2018,4,1
38. McLaren,0,"0,0",1,"0,0",0,"0,0",0,"0,0",,,2018,4,1
38. Nilsson,0,"0,0",1,"0,0",4,"0,0",7,"0,0","-100,0","-85,7",2018,4,1
39. Morgan,0,"0,0",0,"0,0",1,"0,0",1,"0,0","-100,0","-100,0",2018,4,1
