car_name,count_CM_CY,pct_CM_CY,cum_YTD_CY,pct_YTD_CY,count_CM_LY,pct_CM_LY,cum_YTD_LY,pct_YTD_LY,chg_CM_YOY,chg_YTD_YOY,yearsel,monthsel,velgfordelt
TOTALT,10 191,100,19 398,100,11 788,100,24 843,100,"-13,5","-21,9",2018,2,1
1. Volkswagen,1 271,"12,5",2 655,"13,7",1 782,"15,1",3 470,"14,0","-28,7","-23,5",2018,2,1
2. Toyota,1 086,"10,7",2 239,"11,5",1 346,"11,4",2 872,"11,6","-19,3","-22,0",2018,2,1
3. BMW,975,"9,6",2 098,"10,8",1 102,"9,3",2 642,"10,6","-11,5","-20,6",2018,2,1
4. Volvo,1 112,"10,9",1 762,"9,1",891,"7,6",2 049,"8,2","24,8","-14,0",2018,2,1
5. Nissan,908,"8,9",1 131,"5,8",643,"5,5",1 258,"5,1","41,2","-10,1",2018,2,1
6. Skoda,627,"6,2",1 024,"5,3",496,"4,2",1 177,"4,7","26,4","-13,0",2018,2,1
7. Ford,429,"4,2",944,"4,9",668,"5,7",1 285,"5,2","-35,8","-26,5",2018,2,1
8. Peugeot,450,"4,4",925,"4,8",464,"3,9",1 035,"4,2","-3,0","-10,6",2018,2,1
9. Mercedes-Benz,521,"5,1",829,"4,3",759,"6,4",1 729,"7,0","-31,4","-52,1",2018,2,1
10. Kia,334,"3,3",717,"3,7",418,"3,5",840,"3,4","-20,1","-14,6",2018,2,1
11. Hyundai,277,"2,7",615,"3,2",202,"1,7",551,"2,2","37,1","11,6",2018,2,1
12. Audi,344,"3,4",608,"3,1",486,"4,1",1 051,"4,2","-29,2","-42,2",2018,2,1
13. Mazda,306,"3,0",543,"2,8",381,"3,2",665,"2,7","-19,7","-18,3",2018,2,1
14. Suzuki,194,"1,9",483,"2,5",389,"3,3",741,"3,0","-50,1","-34,8",2018,2,1
15. Renault,116,"1,1",470,"2,4",341,"2,9",647,"2,6","-66,0","-27,4",2018,2,1
16. Opel,224,"2,2",437,"2,3",230,"2,0",421,"1,7","-2,6","3,8",2018,2,1
17. Mitsubishi,281,"2,8",400,"2,1",468,"4,0",684,"2,8","-40,0","-41,5",2018,2,1
18. Tesla,81,"0,8",296,"1,5",98,"0,8",465,"1,9","-17,3","-36,3",2018,2,1
19. Citroen,115,"1,1",283,"1,5",193,"1,6",356,"1,4","-40,4","-20,5",2018,2,1
20. Subaru,121,"1,2",191,"1,0",109,"0,9",148,"0,6","11,0","29,1",2018,2,1
21. Honda,84,"0,8",152,"0,8",97,"0,8",198,"0,8","-13,4","-23,2",2018,2,1
22. MINI,73,"0,7",142,"0,7",49,"0,4",114,"0,5","49,0","24,6",2018,2,1
23. Porsche,63,"0,6",105,"0,5",25,"0,2",116,"0,5","152,0","-9,5",2018,2,1
24. Lexus,53,"0,5",95,"0,5",67,"0,6",165,"0,7","-20,9","-42,4",2018,2,1
25. Land Rover,26,"0,3",64,"0,3",19,"0,2",37,"0,1","36,8","73,0",2018,2,1
26. Dacia,41,"0,4",52,"0,3",11,"0,1",20,"0,1","272,7","160,0",2018,2,1
27. Jaguar,25,"0,2",35,"0,2",26,"0,2",53,"0,2","-3,8","-34,0",2018,2,1
28. Seat,16,"0,2",29,"0,1",0,"0,0",0,"0,0",,,2018,2,1
29. Smart,11,"0,1",25,"0,1",0,"0,0",1,"0,0",,"2 400,0",2018,2,1
30. Alfa Romeo,12,"0,1",19,"0,1",8,"0,1",14,"0,1","50,0","35,7",2018,2,1
31. Ssangyong,3,"0,0",11,"0,1",1,"0,0",2,"0,0","200,0","450,0",2018,2,1
32. Fiat,8,"0,1",9,"0,0",6,"0,1",9,"0,0","33,3","0,0",2018,2,1
33. Jeep,1,"0,0",4,"0,0",2,"0,0",2,"0,0","-50,0","100,0",2018,2,1
34. DS,0,"0,0",2,"0,0",8,"0,1",17,"0,1","-100,0","-88,2",2018,2,1
35. Cadillac,1,"0,0",1,"0,0",0,"0,0",0,"0,0",,,2018,2,1
35. Lamborghini,1,"0,0",1,"0,0",0,"0,0",0,"0,0",,,2018,2,1
35. Maserati,0,"0,0",1,"0,0",2,"0,0",4,"0,0","-100,0","-75,0",2018,2,1
35. McLaren,1,"0,0",1,"0,0",0,"0,0",0,"0,0",,,2018,2,1
36. Aston Martin,0,"0,0",0,"0,0",1,"0,0",1,"0,0","-100,0","-100,0",2018,2,1
36. Ferrari,0,"0,0",0,"0,0",0,"0,0",1,"0,0",,"-100,0",2018,2,1
36. Nilsson,0,"0,0",0,"0,0",0,"0,0",3,"0,0",,"-100,0",2018,2,1
