car_name,count_CM_CY,pct_CM_CY,cum_YTD_CY,pct_YTD_CY,count_CM_LY,pct_CM_LY,cum_YTD_LY,pct_YTD_LY,chg_CM_YOY,chg_YTD_YOY,yearsel,monthsel,velgfordelt
TOTALT,11 788,100,24 843,100,12 222,100,23 213,100,"-3,6","7,0",2017,2,1
1. Volkswagen,1 782,"15,1",3 470,"14,0",2 044,"16,7",3 787,"16,3","-12,8","-8,4",2017,2,1
2. Toyota,1 346,"11,4",2 872,"11,6",1 374,"11,2",2 480,"10,7","-2,0","15,8",2017,2,1
3. BMW,1 102,"9,3",2 642,"10,6",899,"7,4",1 988,"8,6","22,6","32,9",2017,2,1
4. Volvo,891,"7,6",2 049,"8,2",732,"6,0",1 375,"5,9","21,7","49,0",2017,2,1
5. Mercedes-Benz,759,"6,4",1 729,"7,0",625,"5,1",1 286,"5,5","21,4","34,4",2017,2,1
6. Ford,668,"5,7",1 285,"5,2",754,"6,2",1 506,"6,5","-11,4","-14,7",2017,2,1
7. Nissan,643,"5,5",1 258,"5,1",842,"6,9",1 515,"6,5","-23,6","-17,0",2017,2,1
8. Skoda,496,"4,2",1 177,"4,7",753,"6,2",1 281,"5,5","-34,1","-8,1",2017,2,1
9. Audi,486,"4,1",1 051,"4,2",531,"4,3",1 090,"4,7","-8,5","-3,6",2017,2,1
10. Peugeot,464,"3,9",1 035,"4,2",428,"3,5",865,"3,7","8,4","19,7",2017,2,1
11. Kia,418,"3,5",840,"3,4",389,"3,2",605,"2,6","7,5","38,8",2017,2,1
12. Suzuki,389,"3,3",741,"3,0",269,"2,2",580,"2,5","44,6","27,8",2017,2,1
13. Mitsubishi,468,"4,0",684,"2,8",607,"5,0",806,"3,5","-22,9","-15,1",2017,2,1
14. Mazda,381,"3,2",665,"2,7",651,"5,3",1 272,"5,5","-41,5","-47,7",2017,2,1
15. Renault,341,"2,9",647,"2,6",111,"0,9",361,"1,6","207,2","79,2",2017,2,1
16. Hyundai,202,"1,7",551,"2,2",121,"1,0",268,"1,2","66,9","105,6",2017,2,1
17. Tesla,98,"0,8",465,"1,9",113,"0,9",218,"0,9","-13,3","113,3",2017,2,1
18. Opel,230,"2,0",421,"1,7",274,"2,2",511,"2,2","-16,1","-17,6",2017,2,1
19. Citroen,193,"1,6",356,"1,4",164,"1,3",345,"1,5","17,7","3,2",2017,2,1
20. Honda,97,"0,8",198,"0,8",151,"1,2",286,"1,2","-35,8","-30,8",2017,2,1
21. Lexus,67,"0,6",165,"0,7",95,"0,8",242,"1,0","-29,5","-31,8",2017,2,1
22. Subaru,109,"0,9",148,"0,6",99,"0,8",131,"0,6","10,1","13,0",2017,2,1
23. Porsche,25,"0,2",116,"0,5",34,"0,3",94,"0,4","-26,5","23,4",2017,2,1
24. MINI,49,"0,4",114,"0,5",50,"0,4",117,"0,5","-2,0","-2,6",2017,2,1
25. Jaguar,26,"0,2",53,"0,2",5,"0,0",24,"0,1","420,0","120,8",2017,2,1
26. Land Rover,19,"0,2",37,"0,1",40,"0,3",75,"0,3","-52,5","-50,7",2017,2,1
27. Dacia,11,"0,1",20,"0,1",21,"0,2",22,"0,1","-47,6","-9,1",2017,2,1
28. DS,8,"0,1",17,"0,1",14,"0,1",27,"0,1","-42,9","-37,0",2017,2,1
29. Alfa Romeo,8,"0,1",14,"0,1",2,"0,0",2,"0,0","300,0","600,0",2017,2,1
30. Fiat,6,"0,1",9,"0,0",5,"0,0",10,"0,0","20,0","-10,0",2017,2,1
31. Maserati,2,"0,0",4,"0,0",2,"0,0",3,"0,0","0,0","33,3",2017,2,1
32. Nilsson,0,"0,0",3,"0,0",0,"0,0",0,"0,0",,,2017,2,1
33. Jeep,2,"0,0",2,"0,0",4,"0,0",8,"0,0","-50,0","-75,0",2017,2,1
33. Ssangyong,1,"0,0",2,"0,0",8,"0,1",16,"0,1","-87,5","-87,5",2017,2,1
34. Aston Martin,1,"0,0",1,"0,0",0,"0,0",0,"0,0",,,2017,2,1
34. Ferrari,0,"0,0",1,"0,0",0,"0,0",0,"0,0",,,2017,2,1
34. Smart,0,"0,0",1,"0,0",11,"0,1",17,"0,1","-100,0","-94,1",2017,2,1
