car_name,count_CM_CY,pct_CM_CY,cum_YTD_CY,pct_YTD_CY,count_CM_LY,pct_CM_LY,cum_YTD_LY,pct_YTD_LY,chg_CM_YOY,chg_YTD_YOY,yearsel,monthsel,velgfordelt
TOTALT,13 484,100,116 358,100,13 854,100,115 875,100,"-2,7","0,4",2017,9,1
1. Volkswagen,2 083,"15,4",17 386,"14,9",2 084,"15,0",20 068,"17,3","-0,0","-13,4",2017,9,1
2. Toyota,1 355,"10,0",13 658,"11,7",1 823,"13,2",13 513,"11,7","-25,7","1,1",2017,9,1
3. BMW,872,"6,5",9 704,"8,3",1 193,"8,6",8 473,"7,3","-26,9","14,5",2017,9,1
4. Mercedes-Benz,849,"6,3",8 369,"7,2",891,"6,4",6 841,"5,9","-4,7","22,3",2017,9,1
5. Volvo,960,"7,1",7 878,"6,8",763,"5,5",6 056,"5,2","25,8","30,1",2017,9,1
6. Skoda,665,"4,9",6 719,"5,8",653,"4,7",5 955,"5,1","1,8","12,8",2017,9,1
7. Audi,545,"4,0",5 558,"4,8",688,"5,0",5 578,"4,8","-20,8","-0,4",2017,9,1
8. Nissan,358,"2,7",5 266,"4,5",460,"3,3",6 311,"5,4","-22,2","-16,6",2017,9,1
9. Ford,460,"3,4",4 964,"4,3",697,"5,0",6 375,"5,5","-34,0","-22,1",2017,9,1
10. Tesla,2 003,"14,9",4 717,"4,1",848,"6,1",2 500,"2,2","136,2","88,7",2017,9,1
11. Peugeot,389,"2,9",3 984,"3,4",354,"2,6",3 686,"3,2","9,9","8,1",2017,9,1
12. Mitsubishi,381,"2,8",3 472,"3,0",562,"4,1",5 320,"4,6","-32,2","-34,7",2017,9,1
13. Kia,477,"3,5",3 464,"3,0",418,"3,0",3 228,"2,8","14,1","7,3",2017,9,1
14. Mazda,288,"2,1",3 349,"2,9",549,"4,0",5 118,"4,4","-47,5","-34,6",2017,9,1
15. Opel,267,"2,0",2 935,"2,5",249,"1,8",2 770,"2,4","7,2","6,0",2017,9,1
16. Hyundai,323,"2,4",2 809,"2,4",227,"1,6",1 696,"1,5","42,3","65,6",2017,9,1
17. Renault,112,"0,8",2 619,"2,3",256,"1,8",2 307,"2,0","-56,3","13,5",2017,9,1
18. Suzuki,241,"1,8",2 559,"2,2",241,"1,7",2 224,"1,9","0,0","15,1",2017,9,1
19. Citroen,142,"1,1",1 658,"1,4",149,"1,1",1 404,"1,2","-4,7","18,1",2017,9,1
20. Subaru,151,"1,1",1 344,"1,2",227,"1,6",1 768,"1,5","-33,5","-24,0",2017,9,1
21. Honda,117,"0,9",969,"0,8",148,"1,1",1 495,"1,3","-20,9","-35,2",2017,9,1
22. Lexus,115,"0,9",731,"0,6",141,"1,0",906,"0,8","-18,4","-19,3",2017,9,1
23. MINI,124,"0,9",643,"0,6",48,"0,3",656,"0,6","158,3","-2,0",2017,9,1
24. Porsche,36,"0,3",489,"0,4",26,"0,2",347,"0,3","38,5","40,9",2017,9,1
25. Land Rover,48,"0,4",286,"0,2",45,"0,3",332,"0,3","6,7","-13,9",2017,9,1
26. Jaguar,26,"0,2",198,"0,2",44,"0,3",254,"0,2","-40,9","-22,0",2017,9,1
27. Alfa Romeo,20,"0,1",146,"0,1",15,"0,1",33,"0,0","33,3","342,4",2017,9,1
28. Fiat,12,"0,1",118,"0,1",16,"0,1",91,"0,1","-25,0","29,7",2017,9,1
29. DS,17,"0,1",91,"0,1",4,"0,0",184,"0,2","325,0","-50,5",2017,9,1
30. Dacia,6,"0,0",88,"0,1",13,"0,1",180,"0,2","-53,8","-51,1",2017,9,1
31. Smart,17,"0,1",61,"0,1",4,"0,0",51,"0,0","325,0","19,6",2017,9,1
32. Ssangyong,10,"0,1",38,"0,0",9,"0,1",59,"0,1","11,1","-35,6",2017,9,1
33. Nilsson,9,"0,1",26,"0,0",4,"0,0",19,"0,0","125,0","36,8",2017,9,1
34. Maserati,1,"0,0",24,"0,0",0,"0,0",6,"0,0",,"300,0",2017,9,1
35. Jeep,4,"0,0",14,"0,0",5,"0,0",56,"0,0","-20,0","-75,0",2017,9,1
36. Aston Martin,0,"0,0",9,"0,0",0,"0,0",3,"0,0",,"200,0",2017,9,1
37. Ferrari,0,"0,0",7,"0,0",0,"0,0",4,"0,0",,"75,0",2017,9,1
38. Morgan,0,"0,0",3,"0,0",0,"0,0",2,"0,0",,"50,0",2017,9,1
39. Chevrolet US,0,"0,0",2,"0,0",0,"0,0",1,"0,0",,"100,0",2017,9,1
40. Amatør Bil,1,"0,0",1,"0,0",0,"0,0",0,"0,0",,,2017,9,1
40. Iveco,0,"0,0",1,"0,0",0,"0,0",0,"0,0",,,2017,9,1
40. Rosenbauer,0,"0,0",1,"0,0",0,"0,0",0,"0,0",,,2017,9,1
41. Bentley,0,"0,0",0,"0,0",0,"0,0",3,"0,0",,"-100,0",2017,9,1
41. Cadillac,0,"0,0",0,"0,0",0,"0,0",1,"0,0",,"-100,0",2017,9,1
41. Lamborghini,0,"0,0",0,"0,0",0,"0,0",1,"0,0",,"-100,0",2017,9,1
