car_name,count_CM_CY,pct_CM_CY,cum_YTD_CY,pct_YTD_CY,count_CM_LY,pct_CM_LY,cum_YTD_LY,pct_YTD_LY,chg_CM_YOY,chg_YTD_YOY,yearsel,monthsel,velgfordelt
TOTALT,14 055,100,47 854,100,11 339,100,49 580,100,"24,0","-3,5",2018,4,0
1. Nissan Leaf,997,"7,1",3 995,"8,3",287,"2,5",1 546,"3,1","247,4","158,4",2018,4,0
2. Volkswagen Golf,918,"6,5",3 023,"6,3",996,"8,8",2 998,"6,0","-7,8","0,8",2018,4,0
3. BMW i3,524,"3,7",2 043,"4,3",426,"3,8",1 939,"3,9","23,0","5,4",2018,4,0
4. Volvo V90,262,"1,9",1 413,"3,0",369,"3,3",1 155,"2,3","-29,0","22,3",2018,4,0
5. Tesla Model X,416,"3,0",1 301,"2,7",33,"0,3",760,"1,5","1 160,6","71,2",2018,4,0
6. Toyota Yaris,360,"2,6",1 227,"2,6",188,"1,7",1 142,"2,3","91,5","7,4",2018,4,0
7. Volvo XC60,437,"3,1",1 158,"2,4",164,"1,4",436,"0,9","166,5","165,6",2018,4,0
8. Toyota Rav4,356,"2,5",1 153,"2,4",331,"2,9",1 617,"3,3","7,6","-28,7",2018,4,0
9. Tesla Model S,300,"2,1",1 114,"2,3",42,"0,4",523,"1,1","614,3","113,0",2018,4,0
10. Mitsubishi Outlander,208,"1,5",1 028,"2,1",238,"2,1",1 211,"2,4","-12,6","-15,1",2018,4,0
11. Renault Zoe,250,"1,8",1 018,"2,1",74,"0,7",915,"1,8","237,8","11,3",2018,4,0
12. Toyota C-HR,315,"2,2",928,"1,9",393,"3,5",1 347,"2,7","-19,8","-31,1",2018,4,0
13. Skoda Octavia,286,"2,0",927,"1,9",260,"2,3",1 120,"2,3","10,0","-17,2",2018,4,0
14. Volkswagen Passat,310,"2,2",881,"1,8",383,"3,4",1 716,"3,5","-19,1","-48,7",2018,4,0
15. Hyundai IONIQ,216,"1,5",867,"1,8",177,"1,6",697,"1,4","22,0","24,4",2018,4,0
16. Toyota Auris,269,"1,9",857,"1,8",229,"2,0",1 083,"2,2","17,5","-20,9",2018,4,0
17. Mercedes-Benz GLC,314,"2,2",787,"1,6",167,"1,5",905,"1,8","88,0","-13,0",2018,4,0
18. Mazda CX-5,165,"1,2",615,"1,3",153,"1,3",521,"1,1","7,8","18,0",2018,4,0
19. BMW 2-serie,72,"0,5",603,"1,3",126,"1,1",642,"1,3","-42,9","-6,1",2018,4,0
20. Peugeot 5008 SUV,140,"1,0",588,"1,2",0,"0,0",1,"0,0",,"58 700,0",2018,4,0
