car_name,count_CM_CY,pct_CM_CY,cum_YTD_CY,pct_YTD_CY,count_CM_LY,pct_CM_LY,cum_YTD_LY,pct_YTD_LY,chg_CM_YOY,chg_YTD_YOY,yearsel,monthsel,velgfordelt
TOTALT,11 476,100,89 459,100,11 040,100,88 789,100,"3,9","0,8",2017,7,0
1. Volkswagen Golf,636,"5,5",6 011,"6,7",972,"8,8",8 454,"9,5","-34,6","-28,9",2017,7,0
2. BMW i3,277,"2,4",3 046,"3,4",98,"0,9",1 210,"1,4","182,7","151,7",2017,7,0
3. Volkswagen Passat,291,"2,5",2 908,"3,3",444,"4,0",3 039,"3,4","-34,5","-4,3",2017,7,0
4. Toyota Rav4,349,"3,0",2 750,"3,1",277,"2,5",2 367,"2,7","26,0","16,2",2017,7,0
5. Nissan Leaf,334,"2,9",2 536,"2,8",237,"2,1",2 829,"3,2","40,9","-10,4",2017,7,0
6. Toyota Yaris,494,"4,3",2 379,"2,7",266,"2,4",2 476,"2,8","85,7","-3,9",2017,7,0
7. Toyota C-HR,316,"2,8",2 289,"2,6",0,"0,0",0,"0,0",,,2017,7,0
8. Skoda Octavia,280,"2,4",2 233,"2,5",301,"2,7",2 253,"2,5","-7,0","-0,9",2017,7,0
9. Mitsubishi Outlander,304,"2,6",2 226,"2,5",552,"5,0",3 701,"4,2","-44,9","-39,9",2017,7,0
10. Toyota Auris,247,"2,2",2 046,"2,3",251,"2,3",2 701,"3,0","-1,6","-24,3",2017,7,0
11. Volvo V90,220,"1,9",1 942,"2,2",3,"0,0",3,"0,0","7 233,3","64 633,3",2017,7,0
12. Renault Zoe,250,"2,2",1 701,"1,9",79,"0,7",1 309,"1,5","216,5","29,9",2017,7,0
13. Mercedes-Benz GLC,283,"2,5",1 676,"1,9",69,"0,6",771,"0,9","310,1","117,4",2017,7,0
14. Tesla Model X,103,"0,9",1 610,"1,8",23,"0,2",30,"0,0","347,8","5 266,7",2017,7,0
15. Volkswagen Tiguan,179,"1,6",1 476,"1,6",305,"2,8",1 011,"1,1","-41,3","46,0",2017,7,0
16. Nissan Qashqai,152,"1,3",1 341,"1,5",183,"1,7",1 169,"1,3","-16,9","14,7",2017,7,0
17. Peugeot 3008,236,"2,1",1 312,"1,5",19,"0,2",195,"0,2","1 142,1","572,8",2017,7,0
18. Hyundai IONIQ,165,"1,4",1 263,"1,4",0,"0,0",0,"0,0",,,2017,7,0
19. Mercedes-Benz B-klasse,169,"1,5",1 262,"1,4",123,"1,1",1 094,"1,2","37,4","15,4",2017,7,0
20. Audi A3,168,"1,5",1 256,"1,4",262,"2,4",1 792,"2,0","-35,9","-29,9",2017,7,0
