car_name,count_CM_CY,pct_CM_CY,cum_YTD_CY,pct_YTD_CY,count_CM_LY,pct_CM_LY,cum_YTD_LY,pct_YTD_LY,chg_CM_YOY,chg_YTD_YOY,yearsel,monthsel,velgfordelt
TOTALT,14 228,100,77 983,100,13 681,100,77 749,100,"4,0","0,3",2017,6,1
1. Volkswagen,2 218,"15,6",11 455,"14,7",2 287,"16,7",13 549,"17,4","-3,0","-15,5",2017,6,1
2. Toyota,1 378,"9,7",9 167,"11,8",1 603,"11,7",8 739,"11,2","-14,0","4,9",2017,6,1
3. BMW,1 036,"7,3",6 889,"8,8",808,"5,9",5 613,"7,2","28,2","22,7",2017,6,1
4. Mercedes-Benz,1 103,"7,8",5 626,"7,2",826,"6,0",4 462,"5,7","33,5","26,1",2017,6,1
5. Volvo,696,"4,9",5 560,"7,1",766,"5,6",4 195,"5,4","-9,1","32,5",2017,6,1
6. Skoda,937,"6,6",4 659,"6,0",721,"5,3",4 171,"5,4","30,0","11,7",2017,6,1
7. Nissan,664,"4,7",3 887,"5,0",640,"4,7",4 634,"6,0","3,8","-16,1",2017,6,1
8. Audi,576,"4,0",3 602,"4,6",551,"4,0",3 409,"4,4","4,5","5,7",2017,6,1
9. Ford,592,"4,2",3 492,"4,5",854,"6,2",4 543,"5,8","-30,7","-23,1",2017,6,1
10. Peugeot,437,"3,1",2 624,"3,4",400,"2,9",2 557,"3,3","9,3","2,6",2017,6,1
11. Tesla,851,"6,0",2 360,"3,0",291,"2,1",1 248,"1,6","192,4","89,1",2017,6,1
12. Mitsubishi,438,"3,1",2 282,"2,9",698,"5,1",3 618,"4,7","-37,2","-36,9",2017,6,1
13. Mazda,419,"2,9",2 267,"2,9",611,"4,5",3 562,"4,6","-31,4","-36,4",2017,6,1
14. Kia,390,"2,7",2 146,"2,8",373,"2,7",2 070,"2,7","4,6","3,7",2017,6,1
15. Opel,620,"4,4",1 957,"2,5",389,"2,8",1 928,"2,5","59,4","1,5",2017,6,1
16. Renault,518,"3,6",1 956,"2,5",490,"3,6",1 789,"2,3","5,7","9,3",2017,6,1
17. Hyundai,367,"2,6",1 916,"2,5",199,"1,5",1 075,"1,4","84,4","78,2",2017,6,1
18. Suzuki,265,"1,9",1 741,"2,2",185,"1,4",1 541,"2,0","43,2","13,0",2017,6,1
19. Citroen,138,"1,0",1 132,"1,5",117,"0,9",918,"1,2","17,9","23,3",2017,6,1
20. Subaru,133,"0,9",820,"1,1",275,"2,0",1 072,"1,4","-51,6","-23,5",2017,6,1
21. Honda,102,"0,7",675,"0,9",189,"1,4",1 001,"1,3","-46,0","-32,6",2017,6,1
22. Lexus,77,"0,5",441,"0,6",74,"0,5",534,"0,7","4,1","-17,4",2017,6,1
23. MINI,57,"0,4",329,"0,4",127,"0,9",432,"0,6","-55,1","-23,8",2017,6,1
24. Porsche,51,"0,4",321,"0,4",40,"0,3",255,"0,3","27,5","25,9",2017,6,1
25. Land Rover,31,"0,2",179,"0,2",50,"0,4",228,"0,3","-38,0","-21,5",2017,6,1
26. Jaguar,26,"0,2",137,"0,2",46,"0,3",145,"0,2","-43,5","-5,5",2017,6,1
27. Alfa Romeo,21,"0,1",82,"0,1",2,"0,0",11,"0,0","950,0","645,5",2017,6,1
28. Fiat,19,"0,1",81,"0,1",5,"0,0",53,"0,1","280,0","52,8",2017,6,1
29. Dacia,12,"0,1",57,"0,1",27,"0,2",119,"0,2","-55,6","-52,1",2017,6,1
30. DS,15,"0,1",42,"0,1",18,"0,1",150,"0,2","-16,7","-72,0",2017,6,1
31. Ssangyong,9,"0,1",22,"0,0",5,"0,0",33,"0,0","80,0","-33,3",2017,6,1
32. Maserati,6,"0,0",20,"0,0",0,"0,0",3,"0,0",,"566,7",2017,6,1
33. Smart,15,"0,1",18,"0,0",5,"0,0",45,"0,1","200,0","-60,0",2017,6,1
34. Nilsson,5,"0,0",14,"0,0",2,"0,0",8,"0,0","150,0","75,0",2017,6,1
35. Aston Martin,3,"0,0",9,"0,0",1,"0,0",3,"0,0","200,0","200,0",2017,6,1
36. Jeep,2,"0,0",8,"0,0",4,"0,0",30,"0,0","-50,0","-73,3",2017,6,1
37. Ferrari,0,"0,0",5,"0,0",0,"0,0",2,"0,0",,"150,0",2017,6,1
38. Chevrolet US,0,"0,0",2,"0,0",1,"0,0",1,"0,0","-100,0","100,0",2017,6,1
39. Iveco,1,"0,0",1,"0,0",0,"0,0",0,"0,0",,,2017,6,1
39. Morgan,0,"0,0",1,"0,0",0,"0,0",1,"0,0",,"0,0",2017,6,1
39. Rosenbauer,0,"0,0",1,"0,0",0,"0,0",0,"0,0",,,2017,6,1
40. Bentley,0,"0,0",0,"0,0",1,"0,0",1,"0,0","-100,0","-100,0",2017,6,1
40. Cadillac,0,"0,0",0,"0,0",0,"0,0",1,"0,0",,"-100,0",2017,6,1
