car_name,count_CM_CY,pct_CM_CY,cum_YTD_CY,pct_YTD_CY,count_CM_LY,pct_CM_LY,cum_YTD_LY,pct_YTD_LY,chg_CM_YOY,chg_YTD_YOY,yearsel,monthsel,velgfordelt
TOTALT,14 175,100,63 755,100,12 864,100,64 068,100,"10,2","-0,5",2017,5,1
1. Volkswagen,2 220,"15,7",9 237,"14,5",2 222,"17,3",11 262,"17,6","-0,1","-18,0",2017,5,1
2. Toyota,1 902,"13,4",7 789,"12,2",1 687,"13,1",7 136,"11,1","12,7","9,2",2017,5,1
3. BMW,1 138,"8,0",5 853,"9,2",832,"6,5",4 805,"7,5","36,8","21,8",2017,5,1
4. Volvo,882,"6,2",4 864,"7,6",619,"4,8",3 429,"5,4","42,5","41,8",2017,5,1
5. Mercedes-Benz,1 103,"7,8",4 523,"7,1",872,"6,8",3 636,"5,7","26,5","24,4",2017,5,1
6. Skoda,1 118,"7,9",3 722,"5,8",722,"5,6",3 450,"5,4","54,8","7,9",2017,5,1
7. Nissan,577,"4,1",3 223,"5,1",592,"4,6",3 994,"6,2","-2,5","-19,3",2017,5,1
8. Audi,766,"5,4",3 026,"4,7",540,"4,2",2 858,"4,5","41,9","5,9",2017,5,1
9. Ford,566,"4,0",2 900,"4,5",751,"5,8",3 689,"5,8","-24,6","-21,4",2017,5,1
10. Peugeot,449,"3,2",2 187,"3,4",404,"3,1",2 157,"3,4","11,1","1,4",2017,5,1
11. Mazda,395,"2,8",1 848,"2,9",565,"4,4",2 951,"4,6","-30,1","-37,4",2017,5,1
12. Mitsubishi,407,"2,9",1 844,"2,9",659,"5,1",2 920,"4,6","-38,2","-36,8",2017,5,1
13. Kia,312,"2,2",1 756,"2,8",349,"2,7",1 697,"2,6","-10,6","3,5",2017,5,1
14. Hyundai,272,"1,9",1 549,"2,4",237,"1,8",876,"1,4","14,8","76,8",2017,5,1
15. Tesla,226,"1,6",1 509,"2,4",156,"1,2",957,"1,5","44,9","57,7",2017,5,1
16. Suzuki,325,"2,3",1 476,"2,3",232,"1,8",1 356,"2,1","40,1","8,8",2017,5,1
17. Renault,196,"1,4",1 438,"2,3",160,"1,2",1 299,"2,0","22,5","10,7",2017,5,1
18. Opel,431,"3,0",1 337,"2,1",397,"3,1",1 539,"2,4","8,6","-13,1",2017,5,1
19. Citroen,268,"1,9",994,"1,6",155,"1,2",801,"1,3","72,9","24,1",2017,5,1
20. Subaru,191,"1,3",687,"1,1",218,"1,7",797,"1,2","-12,4","-13,8",2017,5,1
21. Honda,120,"0,8",573,"0,9",158,"1,2",812,"1,3","-24,1","-29,4",2017,5,1
22. Lexus,60,"0,4",364,"0,6",73,"0,6",460,"0,7","-17,8","-20,9",2017,5,1
23. MINI,63,"0,4",272,"0,4",80,"0,6",305,"0,5","-21,3","-10,8",2017,5,1
24. Porsche,65,"0,5",270,"0,4",42,"0,3",215,"0,3","54,8","25,6",2017,5,1
25. Land Rover,35,"0,2",148,"0,2",38,"0,3",178,"0,3","-7,9","-16,9",2017,5,1
26. Jaguar,31,"0,2",111,"0,2",38,"0,3",99,"0,2","-18,4","12,1",2017,5,1
27. Fiat,16,"0,1",62,"0,1",7,"0,1",48,"0,1","128,6","29,2",2017,5,1
28. Alfa Romeo,14,"0,1",61,"0,1",1,"0,0",9,"0,0","1 300,0","577,8",2017,5,1
29. Dacia,9,"0,1",45,"0,1",18,"0,1",92,"0,1","-50,0","-51,1",2017,5,1
30. DS,7,"0,0",27,"0,0",19,"0,1",132,"0,2","-63,2","-79,5",2017,5,1
31. Maserati,3,"0,0",14,"0,0",0,"0,0",3,"0,0",,"366,7",2017,5,1
32. Ssangyong,2,"0,0",13,"0,0",1,"0,0",28,"0,0","100,0","-53,6",2017,5,1
33. Nilsson,2,"0,0",9,"0,0",4,"0,0",6,"0,0","-50,0","50,0",2017,5,1
34. Aston Martin,1,"0,0",6,"0,0",0,"0,0",2,"0,0",,"200,0",2017,5,1
34. Jeep,1,"0,0",6,"0,0",6,"0,0",26,"0,0","-83,3","-76,9",2017,5,1
35. Ferrari,1,"0,0",5,"0,0",2,"0,0",2,"0,0","-50,0","150,0",2017,5,1
36. Smart,0,"0,0",3,"0,0",6,"0,0",40,"0,1","-100,0","-92,5",2017,5,1
37. Chevrolet US,0,"0,0",2,"0,0",0,"0,0",0,"0,0",,,2017,5,1
38. Morgan,0,"0,0",1,"0,0",1,"0,0",1,"0,0","-100,0","0,0",2017,5,1
38. Rosenbauer,1,"0,0",1,"0,0",0,"0,0",0,"0,0",,,2017,5,1
39. Cadillac,0,"0,0",0,"0,0",1,"0,0",1,"0,0","-100,0","-100,0",2017,5,1
