car_name,count_CM_CY,pct_CM_CY,cum_YTD_CY,pct_YTD_CY,count_CM_LY,pct_CM_LY,cum_YTD_LY,pct_YTD_LY,chg_CM_YOY,chg_YTD_YOY,yearsel,monthsel,velgfordelt
TOTALT,13 415,100,102 874,100,13 232,100,102 021,100,"1,4","0,8",2017,8,1
1. Volkswagen,2 408,"18,0",15 303,"14,9",2 359,"17,8",17 984,"17,6","2,1","-14,9",2017,8,1
2. Toyota,1 534,"11,4",12 303,"12,0",1 824,"13,8",11 690,"11,5","-15,9","5,2",2017,8,1
3. BMW,1 165,"8,7",8 832,"8,6",1 031,"7,8",7 280,"7,1","13,0","21,3",2017,8,1
4. Mercedes-Benz,1 010,"7,5",7 520,"7,3",881,"6,7",5 950,"5,8","14,6","26,4",2017,8,1
5. Volvo,715,"5,3",6 918,"6,7",463,"3,5",5 293,"5,2","54,4","30,7",2017,8,1
6. Skoda,688,"5,1",6 054,"5,9",529,"4,0",5 302,"5,2","30,1","14,2",2017,8,1
7. Audi,851,"6,3",5 013,"4,9",794,"6,0",4 890,"4,8","7,2","2,5",2017,8,1
8. Nissan,472,"3,5",4 908,"4,8",627,"4,7",5 851,"5,7","-24,7","-16,1",2017,8,1
9. Ford,464,"3,5",4 504,"4,4",625,"4,7",5 678,"5,6","-25,8","-20,7",2017,8,1
10. Peugeot,544,"4,1",3 595,"3,5",461,"3,5",3 332,"3,3","18,0","7,9",2017,8,1
11. Mitsubishi,442,"3,3",3 091,"3,0",499,"3,8",4 758,"4,7","-11,4","-35,0",2017,8,1
12. Mazda,388,"2,9",3 061,"3,0",518,"3,9",4 569,"4,5","-25,1","-33,0",2017,8,1
13. Kia,439,"3,3",2 987,"2,9",401,"3,0",2 810,"2,8","9,5","6,3",2017,8,1
14. Tesla,194,"1,4",2 714,"2,6",338,"2,6",1 652,"1,6","-42,6","64,3",2017,8,1
15. Opel,335,"2,5",2 668,"2,6",282,"2,1",2 521,"2,5","18,8","5,8",2017,8,1
16. Renault,238,"1,8",2 507,"2,4",134,"1,0",2 051,"2,0","77,6","22,2",2017,8,1
17. Hyundai,310,"2,3",2 486,"2,4",165,"1,2",1 469,"1,4","87,9","69,2",2017,8,1
18. Suzuki,305,"2,3",2 318,"2,3",229,"1,7",1 983,"1,9","33,2","16,9",2017,8,1
19. Citroen,168,"1,3",1 516,"1,5",162,"1,2",1 255,"1,2","3,7","20,8",2017,8,1
20. Subaru,214,"1,6",1 193,"1,2",268,"2,0",1 541,"1,5","-20,1","-22,6",2017,8,1
21. Honda,110,"0,8",852,"0,8",201,"1,5",1 347,"1,3","-45,3","-36,7",2017,8,1
22. Lexus,99,"0,7",616,"0,6",142,"1,1",765,"0,7","-30,3","-19,5",2017,8,1
23. MINI,110,"0,8",519,"0,5",79,"0,6",608,"0,6","39,2","-14,6",2017,8,1
24. Porsche,67,"0,5",453,"0,4",38,"0,3",321,"0,3","76,3","41,1",2017,8,1
25. Land Rover,47,"0,4",238,"0,2",35,"0,3",287,"0,3","34,3","-17,1",2017,8,1
26. Jaguar,22,"0,2",172,"0,2",42,"0,3",210,"0,2","-47,6","-18,1",2017,8,1
27. Alfa Romeo,15,"0,1",126,"0,1",6,"0,0",18,"0,0","150,0","600,0",2017,8,1
28. Fiat,19,"0,1",106,"0,1",19,"0,1",75,"0,1","0,0","41,3",2017,8,1
29. Dacia,12,"0,1",82,"0,1",40,"0,3",167,"0,2","-70,0","-50,9",2017,8,1
30. DS,6,"0,0",74,"0,1",10,"0,1",180,"0,2","-40,0","-58,9",2017,8,1
31. Smart,14,"0,1",44,"0,0",1,"0,0",47,"0,0","1 300,0","-6,4",2017,8,1
32. Ssangyong,6,"0,0",28,"0,0",8,"0,1",50,"0,0","-25,0","-44,0",2017,8,1
33. Maserati,1,"0,0",23,"0,0",2,"0,0",6,"0,0","-50,0","283,3",2017,8,1
34. Nilsson,0,"0,0",17,"0,0",3,"0,0",15,"0,0","-100,0","13,3",2017,8,1
35. Jeep,0,"0,0",10,"0,0",13,"0,1",51,"0,0","-100,0","-80,4",2017,8,1
36. Aston Martin,0,"0,0",9,"0,0",0,"0,0",3,"0,0",,"200,0",2017,8,1
37. Ferrari,1,"0,0",7,"0,0",1,"0,0",4,"0,0","0,0","75,0",2017,8,1
38. Morgan,2,"0,0",3,"0,0",0,"0,0",2,"0,0",,"50,0",2017,8,1
39. Chevrolet US,0,"0,0",2,"0,0",0,"0,0",1,"0,0",,"100,0",2017,8,1
40. Iveco,0,"0,0",1,"0,0",0,"0,0",0,"0,0",,,2017,8,1
40. Rosenbauer,0,"0,0",1,"0,0",0,"0,0",0,"0,0",,,2017,8,1
41. Bentley,0,"0,0",0,"0,0",1,"0,0",3,"0,0","-100,0","-100,0",2017,8,1
41. Cadillac,0,"0,0",0,"0,0",0,"0,0",1,"0,0",,"-100,0",2017,8,1
41. Lamborghini,0,"0,0",0,"0,0",1,"0,0",1,"0,0","-100,0","-100,0",2017,8,1
