car_name,count_CM_CY,pct_CM_CY,cum_YTD_CY,pct_YTD_CY,count_CM_LY,pct_CM_LY,cum_YTD_LY,pct_YTD_LY,chg_CM_YOY,chg_YTD_YOY,yearsel,monthsel,velgfordelt
TOTALT,13 398,100,38 241,100,13 875,100,37 088,100,"-3,4","3,1",2017,3,0
1. Volkswagen Golf,623,"4,6",2 002,"5,2",1 414,"10,2",3 659,"9,9","-55,9","-45,3",2017,3,0
2. BMW i3,394,"2,9",1 513,"4,0",177,"1,3",719,"1,9","122,6","110,4",2017,3,0
3. Volkswagen Passat,285,"2,1",1 333,"3,5",372,"2,7",918,"2,5","-23,4","45,2",2017,3,0
4. Toyota Rav4,417,"3,1",1 286,"3,4",304,"2,2",1 068,"2,9","37,2","20,4",2017,3,0
5. Nissan Leaf,499,"3,7",1 259,"3,3",676,"4,9",1 413,"3,8","-26,2","-10,9",2017,3,0
6. Mitsubishi Outlander,395,"2,9",973,"2,5",739,"5,3",1 437,"3,9","-46,5","-32,3",2017,3,0
7. Toyota C-HR,456,"3,4",954,"2,5",0,"0,0",0,"0,0",,,2017,3,0
7. Toyota Yaris,338,"2,5",954,"2,5",361,"2,6",974,"2,6","-6,4","-2,1",2017,3,0
8. Skoda Octavia,303,"2,3",860,"2,2",285,"2,1",897,"2,4","6,3","-4,1",2017,3,0
9. Toyota Auris,285,"2,1",854,"2,2",507,"3,7",1 139,"3,1","-43,8","-25,0",2017,3,0
10. Renault Zoe,322,"2,4",841,"2,2",291,"2,1",538,"1,5","10,7","56,3",2017,3,0
11. Volvo V90,276,"2,1",786,"2,1",0,"0,0",0,"0,0",,,2017,3,0
12. Mercedes-Benz GLC,223,"1,7",738,"1,9",101,"0,7",323,"0,9","120,8","128,5",2017,3,0
13. Tesla Model X,446,"3,3",727,"1,9",0,"0,0",0,"0,0",,,2017,3,0
14. Volvo XC90,166,"1,2",722,"1,9",128,"0,9",494,"1,3","29,7","46,2",2017,3,0
15. Volkswagen Tiguan,276,"2,1",695,"1,8",61,"0,4",185,"0,5","352,5","275,7",2017,3,0
16. Nissan Qashqai,294,"2,2",664,"1,7",191,"1,4",574,"1,5","53,9","15,7",2017,3,0
17. Kia Niro,180,"1,3",592,"1,5",0,"0,0",0,"0,0",,,2017,3,0
18. Volvo V40,168,"1,3",549,"1,4",65,"0,5",198,"0,5","158,5","177,3",2017,3,0
19. Skoda Superb,142,"1,1",523,"1,4",188,"1,4",592,"1,6","-24,5","-11,7",2017,3,0
