car_name,count_CM_CY,pct_CM_CY,cum_YTD_CY,pct_YTD_CY,count_CM_LY,pct_CM_LY,cum_YTD_LY,pct_YTD_LY,chg_CM_YOY,chg_YTD_YOY,yearsel,monthsel,velgfordelt
TOTALT,14 401,100,33 799,100,13 398,100,38 241,100,"7,5","-11,6",2018,3,1
1. Volkswagen,1 353,"9,4",4 008,"11,9",1 573,"11,7",5 043,"13,2","-14,0","-20,5",2018,3,1
2. Nissan,2 333,"16,2",3 464,"10,2",888,"6,6",2 146,"5,6","162,7","61,4",2018,3,1
3. Toyota,1 037,"7,2",3 276,"9,7",1 704,"12,7",4 576,"12,0","-39,1","-28,4",2018,3,1
4. BMW,1 090,"7,6",3 188,"9,4",1 050,"7,8",3 692,"9,7","3,8","-13,7",2018,3,1
5. Volvo,1 240,"8,6",3 002,"8,9",950,"7,1",2 999,"7,8","30,5","0,1",2018,3,1
6. Tesla,1 403,"9,7",1 699,"5,0",743,"5,5",1 208,"3,2","88,8","40,6",2018,3,1
7. Skoda,589,"4,1",1 613,"4,8",671,"5,0",1 848,"4,8","-12,2","-12,7",2018,3,1
8. Mercedes-Benz,651,"4,5",1 480,"4,4",934,"7,0",2 663,"7,0","-30,3","-44,4",2018,3,1
9. Ford,472,"3,3",1 416,"4,2",503,"3,8",1 788,"4,7","-6,2","-20,8",2018,3,1
10. Peugeot,416,"2,9",1 341,"4,0",372,"2,8",1 407,"3,7","11,8","-4,7",2018,3,1
11. Kia,368,"2,6",1 085,"3,2",379,"2,8",1 219,"3,2","-2,9","-11,0",2018,3,1
12. Hyundai,400,"2,8",1 015,"3,0",414,"3,1",965,"2,5","-3,4","5,2",2018,3,1
13. Audi,404,"2,8",1 012,"3,0",564,"4,2",1 615,"4,2","-28,4","-37,3",2018,3,1
14. Mitsubishi,575,"4,0",975,"2,9",460,"3,4",1 144,"3,0","25,0","-14,8",2018,3,1
15. Renault,404,"2,8",874,"2,6",464,"3,5",1 111,"2,9","-12,9","-21,3",2018,3,1
16. Mazda,327,"2,3",870,"2,6",421,"3,1",1 086,"2,8","-22,3","-19,9",2018,3,1
17. Opel,265,"1,8",702,"2,1",282,"2,1",703,"1,8","-6,0","-0,1",2018,3,1
18. Suzuki,181,"1,3",664,"2,0",231,"1,7",972,"2,5","-21,6","-31,7",2018,3,1
19. Citroen,186,"1,3",469,"1,4",187,"1,4",543,"1,4","-0,5","-13,6",2018,3,1
20. Subaru,139,"1,0",330,"1,0",158,"1,2",306,"0,8","-12,0","7,8",2018,3,1
21. Honda,150,"1,0",302,"0,9",141,"1,1",339,"0,9","6,4","-10,9",2018,3,1
22. MINI,87,"0,6",229,"0,7",63,"0,5",177,"0,5","38,1","29,4",2018,3,1
23. Lexus,84,"0,6",179,"0,5",85,"0,6",250,"0,7","-1,2","-28,4",2018,3,1
24. Porsche,64,"0,4",169,"0,5",39,"0,3",155,"0,4","64,1","9,0",2018,3,1
25. Land Rover,36,"0,2",100,"0,3",44,"0,3",81,"0,2","-18,2","23,5",2018,3,1
26. Dacia,29,"0,2",81,"0,2",11,"0,1",31,"0,1","163,6","161,3",2018,3,1
27. Jaguar,26,"0,2",61,"0,2",21,"0,2",74,"0,2","23,8","-17,6",2018,3,1
28. Alfa Romeo,27,"0,2",46,"0,1",9,"0,1",23,"0,1","200,0","100,0",2018,3,1
29. Seat,13,"0,1",42,"0,1",0,"0,0",0,"0,0",,,2018,3,1
30. Smart,15,"0,1",40,"0,1",2,"0,0",3,"0,0","650,0","1 233,3",2018,3,1
31. Jeep,14,"0,1",18,"0,1",2,"0,0",4,"0,0","600,0","350,0",2018,3,1
32. Ssangyong,6,"0,0",17,"0,1",3,"0,0",5,"0,0","100,0","240,0",2018,3,1
33. Fiat,4,"0,0",13,"0,0",23,"0,2",32,"0,1","-82,6","-59,4",2018,3,1
34. DS,4,"0,0",6,"0,0",2,"0,0",19,"0,0","100,0","-68,4",2018,3,1
35. Chevrolet US,3,"0,0",3,"0,0",0,"0,0",0,"0,0",,,2018,3,1
35. Maserati,2,"0,0",3,"0,0",3,"0,0",7,"0,0","-33,3","-57,1",2018,3,1
36. Aston Martin,2,"0,0",2,"0,0",1,"0,0",2,"0,0","100,0","0,0",2018,3,1
36. Lamborghini,1,"0,0",2,"0,0",0,"0,0",0,"0,0",,,2018,3,1
37. Cadillac,0,"0,0",1,"0,0",0,"0,0",0,"0,0",,,2018,3,1
37. McLaren,0,"0,0",1,"0,0",0,"0,0",0,"0,0",,,2018,3,1
37. Nilsson,1,"0,0",1,"0,0",0,"0,0",3,"0,0",,"-66,7",2018,3,1
38. Ferrari,0,"0,0",0,"0,0",1,"0,0",2,"0,0","-100,0","-100,0",2018,3,1
